county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,46,9,1050000,1250000,6.72,81000,11.14,137336,11.1,83,yes
BERGEN,Feb,2,36,11,950000,1051000,2.4,17000,3.5,14545,45.5,97,
BERGEN,Mar,3,55,22,899950,1010000,6.58,67500,6.82,39369,27.3,59,
BERGEN,Apr,4,46,15,1049000,1160000,0.38,6000,3.5,-5087,40.0,77,
BERGEN,May,5,46,16,1127000,1230500,7.66,88500,9.79,102157,18.8,56,
BERGEN,Jun,6,53,27,979000,1250000,9.92,71000,9.94,90037,37.0,65,
BERGEN,Jul,7,107,27,1050000,1201000,9.15,101000,9.85,98833,25.9,64,
BERGEN,Aug,8,83,37,1050000,1150000,4.17,50000,6.13,52845,29.7,66,
BERGEN,Sep,9,72,27,979000,999000,2.01,22000,5.32,40732,29.6,62,
BERGEN,Oct,10,61,17,999000,1052000,5.6,50100,7.21,62007,29.4,64,
BERGEN,Nov,11,50,15,949000,955000,7.31,91000,9.91,98858,13.3,61,
BERGEN,Dec,12,53,15,1375000,1360000,4.18,71000,4.77,17607,40.0,76,
ESSEX,Jan,1,649,314,749000,800000,3.92,25500,6.41,53228,32.8,78,
ESSEX,Feb,2,506,226,787000,875000,4.16,30000,7.58,66349,37.6,72,
ESSEX,Mar,3,663,343,769000,856000,8.49,54500,10.32,86759,22.7,54,
ESSEX,Apr,4,787,419,789000,875000,8.12,55000,11.22,104394,23.9,57,
ESSEX,May,5,959,571,799900,906000,10.17,81000,12.86,118869,17.9,57,
ESSEX,Jun,6,1170,689,875000,999000,9.78,77000,11.95,117865,19.7,61,
ESSEX,Jul,7,1357,771,800000,925000,9.09,66100,10.82,100999,22.7,63,
ESSEX,Aug,8,1178,647,799000,900000,7.63,55000,9.76,84192,22.1,64,
ESSEX,Sep,9,862,438,715000,780000,4.93,35550,7.14,53685,26.7,61,
ESSEX,Oct,10,832,391,699000,755000,4.21,25010,6.89,54271,32.0,64,
ESSEX,Nov,11,805,437,799000,855000,6.04,45000,8.21,69796,25.6,61,
ESSEX,Dec,12,863,458,762000,827500,5.96,40002,8.42,71200,27.5,62,
MIDDLESEX,Jan,1,362,229,530000,550000,1.67,7500,2.47,12445,38.9,82,
MIDDLESEX,Feb,2,332,216,549900,556000,1.03,5100,2.15,10524,37.5,77,
MIDDLESEX,Mar,3,390,239,575000,579000,2.4,13100,3.46,20403,37.2,63,
MIDDLESEX,Apr,4,398,247,550000,587500,3.72,20000,4.43,23304,26.7,66,
MIDDLESEX,May,5,417,275,549900,580000,3.57,20000,4.75,27469,25.5,62,
MIDDLESEX,Jun,6,520,359,599900,621500,3.08,15100,3.96,25267,33.7,64,
MIDDLESEX,Jul,7,615,401,549900,575000,4.43,25000,5.11,28926,24.7,68,
MIDDLESEX,Aug,8,563,330,574950,590000,3.94,20000,4.29,22635,31.8,65,
MIDDLESEX,Sep,9,502,300,538500,557500,3.67,18550,4.31,21168,29.7,65,
