month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,629,626,764250,810000,2.83,20550,5.31,46945,35.9,64,
Feb,2,822,812,788250,835930,5.21,35100,7.44,69785,26.4,60,
Mar,3,1139,1123,825000,885000,6.84,51000,9.14,85820,21.0,61,
Apr,4,1337,1323,825000,900000,6.21,50000,8.29,79978,22.2,60,
May,5,1456,1434,825000,908052,6.63,51000,8.97,87792,20.6,57,
Jun,6,803,800,799000,852750,5.16,35050,6.93,61661,24.9,57,
Jul,7,631,628,789000,825000,3.54,21000,4.69,35143,34.9,63,
Aug,8,478,478,742500,780000,2.75,20000,4.41,32250,36.2,62,
Sep,9,541,540,795000,825000,3.17,25000,5.49,53915,34.4,62,
Oct,10,686,679,799900,850000,2.29,15000,4.93,44489,39.5,68,
Nov,11,613,611,774999,803000,2.42,16000,4.69,38309,36.8,72,
Dec,12,569,566,722250,742000,1.19,6000,3.0,20550,43.8,73,
