close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2384,1198,77,1.0,11.2,36.7,29.3,21.8,12.2,87.8,
Feb,2,1961,1022,74,2.2,25.1,25.0,19.5,28.2,27.3,72.7,
Mar,3,2382,1351,57,1.8,24.3,46.0,10.1,17.8,26.1,73.9,
Apr,4,2739,1603,56,1.7,27.6,41.6,17.8,11.2,29.4,70.6,
May,5,3302,1622,57,2.5,23.0,50.6,14.7,9.2,25.5,74.5,
Jun,6,3994,2595,61,1.7,21.7,48.9,18.7,8.9,23.4,76.6,
Jul,7,4645,2666,63,1.4,19.5,45.8,22.8,10.5,20.9,79.1,
Aug,8,4223,2417,63,1.2,19.9,45.1,22.6,11.3,21.0,79.0,
Sep,9,3180,1782,63,1.1,18.2,45.7,20.9,14.0,19.3,80.7,
Oct,10,3144,1646,62,1.0,27.5,35.4,21.8,14.3,28.6,71.4,
Nov,11,2960,1654,61,0.7,21.0,47.0,17.2,14.1,21.7,78.3,
Dec,12,3111,1565,64,1.7,15.7,44.3,24.8,13.5,17.4,82.6,
