month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,828,372,659875,672500,1.38,10000,3.5,19603,40.1,78,
Jan,1,2025,789,472,697000,730000,2.74,17000,4.31,29453,33.7,76,
Jan,1,2026,767,464,749000,766000,1.14,6325,3.29,30535,45.0,77,
Feb,2,2024,733,354,654500,678000,1.92,11000,4.34,29389,40.7,68,
Feb,2,2025,601,372,677000,684000,1.41,10000,3.12,21889,41.1,77,
Feb,2,2026,627,354,742450,762500,1.29,7750,3.72,34698,42.7,78,
Mar,3,2024,896,460,699000,730000,4.4,25050,5.82,41725,30.9,58,
Mar,3,2025,724,466,729950,780000,5.02,33950,7.19,62045,28.8,57,
Mar,3,2026,762,484,725000,760000,2.87,19300,5.46,50404,35.3,57,
Apr,4,2024,1118,606,719950,765000,6.29,36000,7.85,63263,24.3,56,
Apr,4,2025,853,534,749450,814750,5.75,41000,7.96,66210,24.3,57,
Apr,4,2026,768,510,750000,799999,4.35,30000,6.52,60340,27.5,58,
May,5,2024,1238,685,725000,800000,7.73,50000,8.8,69201,21.0,61,
May,5,2025,1040,695,779000,835000,6.0,40000,8.28,73174,22.9,56,
May,5,2026,1024,740,799000,870950,5.76,44000,8.1,78765,25.0,57,
Jun,6,2024,1415,792,759450,825000,7.45,50000,8.39,70405,19.6,62,
Jun,6,2025,1237,869,795000,853000,6.0,45100,7.94,72943,23.0,61,
Jun,6,2026,1342,1015,825000,886250,4.55,32000,6.93,71191,27.2,61,
Jul,7,2023,1544,757,699000,738000,5.33,31000,6.52,49190,23.0,64,
Jul,7,2024,1525,866,750000,810500,6.72,48750,7.7,62364,22.3,64,
Jul,7,2025,1278,862,799000,860000,5.1,35000,7.22,66206,26.9,63,
Jul,7,2026,298,291,850000,900000,5.93,50100,8.11,85229,24.4,66,
Aug,8,2023,1549,823,725000,760000,5.15,31000,6.5,50219,24.7,63,
Aug,8,2024,1485,908,769950,829000,5.78,40050,7.4,63905,24.1,63,
Aug,8,2025,1189,796,779000,825000,3.73,25000,5.19,44758,32.5,65,
Sep,9,2023,1129,593,689000,715000,4.16,25000,5.25,36201,29.3,61,
Sep,9,2024,1048,614,699900,751000,4.53,26000,5.66,38827,28.0,63,
Sep,9,2025,1003,654,750000,790000,2.5,15000,3.99,29318,37.3,66,
Oct,10,2023,1086,534,629000,650000,3.17,17500,4.12,24052,33.5,62,
Oct,10,2024,1058,573,699000,727000,3.16,20000,4.74,32368,31.4,65,
Oct,10,2025,1000,658,750000,795000,2.71,15550,4.71,40555,37.4,62,
Nov,11,2023,1001,525,679000,715000,3.51,21000,5.24,35065,32.0,61,
Nov,11,2024,1088,596,725000,755000,3.39,23848,5.1,39360,30.7,62,
Nov,11,2025,871,594,749000,770000,2.12,16000,4.79,41640,36.2,63,
Dec,12,2023,1006,529,695400,717000,2.73,15000,4.46,28970,37.4,62,
Dec,12,2024,1030,586,699900,750000,2.77,19000,4.51,32100,33.8,63,
Dec,12,2025,1075,697,750000,790004,1.59,10000,4.52,39272,40.7,67,
