town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,506,395,839000,863652,2.72,20100,3.85,33103,32.2,62,
Bedminster,258,192,487450,497500,2.35,10500,3.0,11280,34.9,54,
Berkeley Heights,231,178,827000,885500,6.28,49500,7.16,62939,25.8,58,
Bernardsville,167,113,950000,1050000,2.9,25000,2.72,-816,41.6,62,
Boonton,281,175,675000,712500,2.4,15100,4.02,25238,34.3,63,
Branchburg,371,275,599000,615000,1.89,10000,2.65,15875,39.3,61,
Bridgewater,614,468,649950,688000,2.39,15000,3.36,22223,35.7,62,
Caldwell,412,216,750000,807500,6.05,45050,7.8,60441,26.4,62,
Cedar Grove,223,112,719950,775000,9.05,63750,8.33,55922,17.0,59,
Cedar Knolls,50,38,729750,750000,5.33,35050,6.06,48612,23.7,66,
Chatham,419,291,1325000,1550000,6.24,79000,8.64,112269,27.5,61,
Chester,187,128,921950,937500,1.69,15500,2.63,15546,41.4,68,
Clark,228,122,699000,715000,3.62,21000,2.78,16950,28.7,64,
Colonia,265,200,615000,635000,2.58,15000,3.33,19312,32.5,67,
Cranford,357,244,749000,789500,5.3,36000,6.45,48045,23.8,56,
Denville,453,278,650000,685000,3.69,25000,4.4,27574,31.3,62,
East Hanover,295,104,834000,877000,4.76,38050,5.67,48886,23.1,62,
Edison,1192,849,599000,605000,0.77,5000,1.93,11184,44.4,71,
Essex Fells,46,25,1562500,1505000,-1.18,-10000,0.55,-17636,60.0,66,
Fanwood,124,99,745000,805000,6.86,50000,7.1,54019,23.2,60,
Florham Park,190,114,1049450,1087500,3.18,25500,4.37,38881,37.7,58,
Franklin Lakes,151,47,1729000,1800000,0.0,0,2.14,-3679,55.3,98,
Garwood,76,55,675000,700000,3.14,20500,2.7,18793,30.9,62,
Gillette,74,51,649999,685000,1.82,15000,3.85,31704,41.2,65,
Glen Ridge,153,110,899000,1150000,22.27,219792,20.38,213720,11.8,58,
Glen Rock,161,64,927000,1083000,11.21,101000,12.19,114107,12.5,60,
Green Brook,280,191,550000,560000,0.91,5000,2.24,11022,42.9,68,
Livingston,608,329,1100000,1200000,1.83,21000,4.76,43578,41.9,68,
Long Valley,212,154,717500,730000,3.09,17300,2.81,18119,34.4,62,
Madison,262,178,1185000,1310000,5.98,57000,8.64,93436,27.5,65,
Maplewood,478,352,869000,1052858,10.65,100000,14.01,132325,15.9,54,
Martinsville,72,53,839000,855000,2.65,25000,2.82,16467,39.6,62,
Mendham,216,181,1150000,1150000,0.0,0,1.92,7837,53.0,69,
Metuchen,283,200,675000,710000,3.92,25000,5.12,39265,29.5,60,
Millburn,146,94,1291500,1402500,6.29,50500,7.14,79007,33.0,62,
Millington,53,43,869000,915000,3.06,26000,4.23,40484,27.9,63,
Montclair,691,415,1050000,1225000,17.07,171000,17.46,198738,16.4,58,
Montville,230,149,759000,792500,3.76,30100,4.12,32115,30.9,69,
Morris Plains,395,236,719000,735000,2.75,16000,4.53,32931,30.1,60,
Morristown,800,487,799900,857582,3.93,30000,5.45,49149,33.1,63,
Mountain Lakes,87,68,1224000,1217500,3.61,35050,5.8,57156,39.7,78,
Mountainside,110,79,949018,1035250,5.27,50000,6.59,68456,32.9,65,
New Providence,204,165,899900,1026000,8.95,76000,9.04,91729,23.0,56,
Nutley,456,242,608500,652500,3.54,20000,4.86,28795,29.3,66,
Randolph,417,287,769000,815000,3.05,25000,4.73,36457,30.7,64,
Roseland,99,45,759999,770000,3.65,31000,5.19,38898,28.9,62,
Scotch Plains,388,276,877000,932500,4.59,35379,6.49,61048,29.3,62,
Short Hills,251,193,2295000,2413000,2.52,42000,4.93,80450,43.5,70,
South Orange,300,219,975000,1115000,10.12,87000,11.85,124667,16.4,62,
South Plainfield,322,222,557000,575000,1.92,11000,2.87,16748,30.2,70,
Springfield,274,183,639000,673000,3.82,21000,4.94,32267,27.3,63,
Stirling,34,25,699000,715000,3.61,21000,4.75,35349,28.0,56,
Summit,406,301,1375000,1510000,8.0,101500,9.76,134778,27.6,60,
Towaco,96,69,749000,760000,1.52,10000,3.41,35776,40.6,64,
Verona,293,199,679000,790000,6.86,42000,9.68,74681,28.6,62,
Warren,380,210,1199450,1200000,0.0,0,0.84,1245,59.0,76,
Watchung,101,71,1050000,1160000,2.37,20000,3.12,29868,46.5,64,
West Orange,857,525,635000,685000,7.3,45000,8.21,54753,21.1,62,
Westfield,559,432,1150000,1300000,6.9,75000,8.63,93430,22.5,56,
Woodbridge,319,238,455000,462500,1.73,7250,2.93,13159,36.1,69,
