town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,810,810,846500,878855,4.0,26050,5.02,40150,26.5,59,
Bedminster,355,355,485000,500000,3.05,15000,3.7,10860,31.0,54,
Berkeley Heights,311,311,799000,855000,6.74,50000,7.36,62278,22.2,58,
Bernardsville,232,232,899500,996500,1.65,10650,2.04,-8724,45.7,64,
Boonton,315,314,644450,675000,2.67,20000,4.45,25649,30.6,63,
Branchburg,455,454,575000,600000,3.09,16000,3.79,21454,33.3,61,
Bridgewater,814,814,657000,700000,3.16,20000,3.76,25622,31.0,62,
Caldwell,290,290,704950,766500,5.57,35000,7.1,49933,26.9,64,
Cedar Grove,207,207,699000,760000,8.0,55100,7.69,53793,18.4,59,
Cedar Knolls,75,75,629000,640000,4.35,21500,4.75,34331,26.7,62,
Chatham,543,543,1190000,1350000,5.83,61000,7.86,96651,28.9,63,
Chester,248,247,919900,949000,1.96,20000,3.11,23273,38.9,69,
Clark,212,212,679450,688500,3.79,23000,3.34,20064,26.9,62,
Colonia,98,98,594500,625000,4.8,29500,4.73,25664,22.4,67,
Cranford,414,414,725000,770000,5.12,35000,6.25,45359,23.7,56,
Denville,458,454,615000,650000,4.12,25000,4.54,28323,28.4,62,
East Hanover,165,165,795000,830000,4.23,30100,4.92,41277,26.1,61,
Edison,224,224,620000,641000,3.31,16050,4.18,24171,30.4,64,
Essex Fells,36,36,1499000,1500000,-0.59,-5000,1.89,-14414,58.3,67,
Fanwood,177,177,725000,765000,6.01,36000,6.65,48029,21.5,61,
Florham Park,223,223,925000,991000,2.96,25000,4.39,39160,35.4,64,
Franklin Lakes,88,88,1595000,1527500,0.0,0,2.19,3400,51.1,95,
Garwood,94,94,649950,682500,3.24,20050,3.83,24931,31.9,62,
Gillette,85,85,635000,650000,2.68,15000,4.19,32514,36.5,64,
Glen Ridge,220,195,829000,1052500,21.03,186000,19.55,189722,12.8,58,
Glen Rock,139,139,899000,1020000,10.35,92000,11.08,102936,12.9,59,
Green Brook,228,227,549999,569900,2.22,12000,3.47,16185,35.7,67,
Livingston,546,546,999950,1117500,2.56,26500,5.07,42734,38.1,67,
Long Valley,306,306,695000,715000,3.5,22550,3.95,24497,30.4,62,
Madison,328,327,999000,1136000,5.11,51000,7.52,76712,27.5,65,
Maplewood,629,625,849900,995000,10.48,88000,13.14,121404,16.6,56,
Martinsville,103,103,799900,835000,2.29,19100,2.96,21150,35.9,64,
Mendham,333,333,1100000,1125000,0.38,3000,2.1,8566,49.2,69,
Metuchen,91,91,685000,715000,6.0,36000,6.61,46741,24.2,62,
Millburn,181,180,1195000,1282500,6.79,74000,8.06,87999,29.4,60,
Millington,72,72,849000,875000,3.53,26000,4.14,36882,27.8,62,
Montclair,770,686,989000,1222500,18.03,171000,18.58,201327,13.4,59,
Montville,292,292,737000,786805,4.7,32350,4.77,33107,30.1,67,
Morris Plains,439,438,670000,711000,4.27,25300,5.12,35624,26.0,59,
Morris Township,196,196,799000,850000,4.41,31000,6.03,50119,27.0,62,
Morristown,759,758,775000,803000,3.37,25000,5.05,39556,34.0,64,
Mountain Lakes,115,115,1125000,1200000,2.73,30000,4.63,47732,34.8,76,
Mountainside,158,158,905000,970000,4.7,35000,6.22,58232,31.0,64,
New Providence,291,291,865000,930000,8.3,70000,8.92,85225,21.0,55,
North Caldwell,49,48,998995,1175000,4.25,40500,6.31,55761,31.2,58,
Nutley,449,449,619000,650000,4.78,25000,5.59,32240,27.4,67,
Randolph,526,526,735000,779950,4.03,29050,5.3,39269,26.6,64,
Roseland,86,86,749950,772500,5.14,33000,5.95,44564,26.7,64,
Scotch Plains,466,465,829900,876000,5.59,46000,7.16,63453,25.6,61,
Short Hills,351,350,2095000,2239000,4.13,80000,5.51,85994,36.6,67,
South Orange,402,400,925000,1092000,9.62,78000,11.69,113985,15.2,61,
South Plainfield,160,160,527000,548500,3.5,20000,3.84,20256,23.8,66,
Springfield,325,325,629000,665000,3.88,21000,4.87,31966,26.2,62,
Stirling,46,46,610000,652500,3.66,20500,4.92,31599,30.4,63,
Summit,530,529,1200000,1350000,8.79,96000,9.47,120609,23.8,61,
Towaco,95,95,700000,725000,1.76,16000,4.08,38884,34.7,64,
Verona,327,323,649000,728000,6.28,31000,8.55,64592,30.3,61,
Warren,416,415,1150000,1180000,0.0,0,0.76,1948,56.4,73,
Watchung,134,134,989000,999999,0.0,0,2.0,14493,51.5,76,
West Caldwell,40,40,674450,745000,10.19,63555,8.78,59309,20.0,62,
West Orange,969,966,600000,660000,7.79,45000,8.72,55029,20.5,62,
Westfield,735,734,1150000,1260000,5.69,60000,7.63,80675,25.6,58,
Woodbridge,79,79,449999,490000,4.84,20100,4.43,18397,20.3,62,
