month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,936,931,749999,795000,2.64,17000,5.05,41731,36.8,65,
Feb,2,1296,1283,779900,835000,5.3,36000,7.5,66096,25.9,59,
Mar,3,1701,1682,825000,895500,6.85,51000,8.89,82515,22.6,59,
Apr,4,1881,1862,849000,920000,6.5,50001,8.25,79377,22.4,65,
May,5,2659,2624,825000,905000,6.94,51000,8.72,81236,20.3,62,
Jun,6,2272,2264,799000,851000,5.58,40000,7.18,60710,24.7,60,
Jul,7,1790,1782,750000,800000,4.17,26000,5.51,42056,29.4,61,
Aug,8,1551,1548,729000,760000,3.38,21750,4.7,32055,32.4,61,
Sep,9,1442,1435,749000,782000,3.64,25001,5.47,45592,30.6,61,
Oct,10,1653,1638,775000,815500,3.04,20100,5.11,40104,35.5,62,
Nov,11,1223,1219,730000,775000,2.67,17500,4.66,35321,35.9,66,
Dec,12,864,860,699900,720000,0.97,6000,2.89,18709,44.5,73,
