town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,Fall,72,72,846500,841500,0.82,5000,2.13,12858,44.4,64,
Basking Ridge,Spring,166,166,899000,942500,4.71,32062,5.46,54671,21.1,61,
Basking Ridge,Summer,89,89,849000,865000,3.54,21000,3.69,31608,29.2,57,
Basking Ridge,Winter,74,74,549500,579250,0.51,3000,2.31,13881,43.2,69,
Bedminster,Fall,35,35,499999,515000,0.0,1,1.17,-3777,54.3,54,
Bedminster,Spring,73,73,499000,520000,3.49,20000,4.03,21410,26.0,50,
Bedminster,Summer,42,42,467500,487500,2.68,13000,3.79,21776,23.8,54,
Bedminster,Winter,42,42,487450,485000,2.35,10000,2.57,16365,40.5,52,
Berkeley Heights,Fall,35,35,849000,900000,6.92,51000,7.04,57677,20.0,54,
Berkeley Heights,Spring,71,71,849000,950000,8.94,80000,9.85,88919,11.3,57,
Berkeley Heights,Summer,40,40,789950,822500,3.87,30050,4.45,38005,37.5,56,
Berkeley Heights,Winter,29,29,799999,850000,4.47,51000,6.03,57447,37.9,59,
Bernardsville,Fall,24,24,1214500,1261250,3.11,27500,1.83,279,41.7,74,
Bernardsville,Spring,43,43,899000,999000,3.88,46000,5.56,29156,37.2,57,
Bernardsville,Summer,27,27,1299000,1275000,0.0,0,0.69,-48738,51.9,62,
Bernardsville,Winter,16,16,849500,910000,2.46,25500,0.59,-606,31.2,78,
Boonton,Fall,40,40,650000,706584,4.67,33550,5.37,34188,27.5,70,
Boonton,Spring,60,60,699450,728000,3.66,23500,5.44,36886,30.0,58,
Boonton,Summer,37,36,632000,662500,3.71,23000,4.24,24295,19.4,56,
Boonton,Winter,33,33,665000,715000,0.0,0,1.63,8497,51.5,76,
Branchburg,Fall,51,51,649000,647000,0.0,0,1.22,9957,56.9,61,
Branchburg,Spring,84,84,602500,650000,3.8,25000,4.68,28255,25.0,59,
Branchburg,Summer,57,56,615000,617500,1.03,10000,1.68,9500,44.6,60,
Branchburg,Winter,60,60,570000,592500,1.25,5100,2.14,11349,41.7,74,
Bridgewater,Fall,84,84,649000,668500,0.24,1300,1.09,5474,46.4,66,
Bridgewater,Spring,155,155,725000,750000,4.41,30000,5.37,38568,21.9,60,
Bridgewater,Summer,113,113,649000,680000,1.85,13000,2.7,18239,35.4,60,
Bridgewater,Winter,91,91,599000,622500,1.2,5000,3.71,22970,42.9,66,
Caldwell,Fall,44,44,749000,792000,5.42,32500,7.45,54938,29.5,73,
Caldwell,Spring,77,77,699000,810000,7.91,56000,9.16,72060,20.8,59,
Caldwell,Summer,51,51,789000,875000,6.22,50000,7.99,61750,23.5,60,
Caldwell,Winter,41,41,725000,780000,4.35,35000,5.79,44517,31.7,54,
Cedar Grove,Fall,19,19,669000,739000,10.46,60100,7.6,21074,15.8,65,
Cedar Grove,Spring,43,43,719900,762000,11.01,81000,10.55,77766,11.6,59,
Cedar Grove,Summer,24,24,712450,812045,8.87,57050,8.28,56547,20.8,50,
Cedar Grove,Winter,29,29,750000,831000,5.66,62500,6.31,54583,17.2,61,
Cedar Knolls,Fall,8,8,650000,678500,1.23,10250,3.26,18062,37.5,58,yes
Cedar Knolls,Spring,16,16,749950,750000,5.33,31500,5.78,46325,31.2,69,
Cedar Knolls,Summer,4,4,1045000,1168000,10.53,123000,9.43,101775,0.0,69,yes
Cedar Knolls,Winter,11,11,718880,820880,5.85,50100,7.14,53595,9.1,71,
Chatham,Fall,45,45,1299000,1590000,4.55,58064,7.19,90877,35.6,65,
Chatham,Spring,128,128,1392500,1576500,7.17,103000,10.14,138469,20.3,61,
Chatham,Summer,47,47,1195000,1315000,6.15,81000,6.9,85823,34.0,56,
Chatham,Winter,60,60,1110000,1397500,9.35,83500,9.82,121355,23.3,60,
Chester,Fall,29,29,925000,920000,0.0,0,1.34,6763,62.1,63,
Chester,Spring,49,48,949450,999500,4.49,50000,5.15,51125,29.2,65,
Chester,Summer,32,32,907000,912500,1.69,15550,0.58,-17730,43.8,70,
Chester,Winter,17,17,799000,850000,2.45,11000,3.14,8300,29.4,80,
Clark,Fall,25,25,689000,700000,1.6,11000,1.43,9557,36.0,67,
Clark,Spring,39,39,689000,715000,4.01,26000,3.88,25890,20.5,69,
Clark,Summer,31,31,730000,775000,3.81,25100,3.33,17332,22.6,52,
Clark,Winter,24,24,794500,820000,3.08,20050,1.48,5771,37.5,77,
Colonia,Fall,12,12,587500,597250,0.28,2550,1.07,7400,50.0,70,
Colonia,Spring,22,22,599900,630000,5.36,33500,7.06,40757,9.1,66,
Colonia,Summer,13,13,599900,667500,5.88,35000,4.54,27016,23.1,69,
Colonia,Winter,9,9,692999,725000,4.62,31600,4.77,30211,11.1,61,yes
Cranford,Fall,44,44,702450,752500,5.33,42050,5.33,36714,31.8,58,
Cranford,Spring,100,100,794500,857500,7.32,58500,8.53,66615,13.0,54,
