county,town,close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
BERGEN,Elmwood Park,Jan,1,30,5,122,0.0,0.0,20.0,20.0,60.0,0.0,100.0,yes
BERGEN,Elmwood Park,Feb,2,26,4,92,0.0,25.0,0.0,50.0,25.0,25.0,75.0,yes
BERGEN,Elmwood Park,Mar,3,22,7,93,0.0,0.0,28.6,28.6,42.9,0.0,100.0,yes
BERGEN,Elmwood Park,Apr,4,42,9,81,0.0,0.0,44.4,22.2,33.3,0.0,100.0,yes
BERGEN,Elmwood Park,May,5,20,4,71,0.0,0.0,50.0,25.0,25.0,0.0,100.0,yes
BERGEN,Elmwood Park,Jun,6,23,8,66,0.0,25.0,25.0,37.5,12.5,25.0,75.0,yes
BERGEN,Elmwood Park,Jul,7,43,11,70,0.0,9.1,45.5,27.3,18.2,9.1,90.9,
BERGEN,Elmwood Park,Aug,8,43,7,63,0.0,14.3,57.1,14.3,14.3,14.3,85.7,yes
BERGEN,Elmwood Park,Sep,9,46,10,88,0.0,20.0,30.0,20.0,30.0,20.0,80.0,
BERGEN,Elmwood Park,Oct,10,36,10,65,0.0,20.0,50.0,20.0,10.0,20.0,80.0,
BERGEN,Elmwood Park,Nov,11,44,8,53,0.0,37.5,50.0,0.0,12.5,37.5,62.5,yes
BERGEN,Elmwood Park,Dec,12,43,7,86,0.0,0.0,28.6,42.9,28.6,0.0,100.0,yes
BERGEN,Franklin Lakes,Jan,1,17,1,119,0.0,0.0,0.0,0.0,100.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Feb,2,19,7,101,0.0,0.0,0.0,71.4,28.6,0.0,100.0,yes
BERGEN,Franklin Lakes,Mar,3,27,5,111,0.0,0.0,40.0,0.0,60.0,0.0,100.0,yes
BERGEN,Franklin Lakes,Apr,4,23,10,106,0.0,10.0,30.0,20.0,40.0,10.0,90.0,
BERGEN,Franklin Lakes,May,5,24,7,57,0.0,0.0,100.0,0.0,0.0,0.0,100.0,yes
