town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,Fall,178,178,794500,820000,2.58,20000,4.03,25810,32.6,55,
Basking Ridge,Spring,250,250,952000,995000,6.0,47500,6.56,61724,17.6,62,
Basking Ridge,Summer,273,273,855000,875000,4.29,26000,5.14,40893,26.0,57,
Basking Ridge,Winter,115,115,724999,735000,2.14,11100,3.38,20687,35.7,65,
Bedminster,Fall,84,84,499500,515000,0.91,3750,2.69,-12104,42.9,54,
Bedminster,Spring,100,100,499000,522500,4.75,21000,4.85,20561,25.0,56,
Bedminster,Summer,119,119,459900,480000,2.94,15000,3.76,17823,23.5,55,
Bedminster,Winter,60,60,459000,470000,2.35,10550,2.69,11219,38.3,50,
Berkeley Heights,Fall,67,67,779000,815000,6.02,41000,5.81,46003,23.9,57,
Berkeley Heights,Spring,94,94,825000,925000,10.43,87550,10.76,95478,7.4,56,
Berkeley Heights,Summer,108,108,779000,813500,5.0,31000,5.94,48798,27.8,56,
Berkeley Heights,Winter,50,50,799950,843725,6.69,51000,6.42,58817,32.0,61,
Bernardsville,Fall,60,60,849500,894000,0.0,0,1.54,92,51.7,62,
Bernardsville,Spring,71,71,925000,999998,3.58,30000,4.66,5057,38.0,61,
Bernardsville,Summer,76,76,1039000,999999,0.18,3050,0.94,-21437,48.7,68,
Bernardsville,Winter,28,28,849500,910000,1.94,22500,0.12,-20829,39.3,76,
Boonton,Fall,72,72,622500,672500,2.92,21050,4.91,26048,31.9,70,
Boonton,Spring,92,92,675000,692000,3.4,24250,4.85,31886,28.3,62,
Boonton,Summer,114,113,635900,665000,4.35,25000,5.13,30278,23.0,61,
Boonton,Winter,51,51,639900,675000,0.13,1000,2.21,9933,49.0,70,
Branchburg,Fall,103,103,585000,614000,1.45,6000,2.51,14413,46.6,61,
Branchburg,Spring,121,121,585000,632500,5.11,30000,5.9,34677,21.5,59,
Branchburg,Summer,153,152,559950,591250,3.04,15625,3.53,20567,30.3,59,
Branchburg,Winter,86,86,550000,550000,1.25,7550,2.38,11145,43.0,69,
Bridgewater,Fall,187,187,645000,665000,1.3,10000,2.29,14628,39.0,63,
Bridgewater,Spring,232,232,727000,762500,4.73,30600,5.13,36769,22.8,62,
Bridgewater,Summer,287,287,680000,710000,3.51,22500,3.73,24925,28.9,59,
Bridgewater,Winter,134,134,599450,628750,2.66,12250,3.84,25451,36.6,63,
Caldwell,Fall,72,72,684000,710000,4.92,21750,5.94,34545,27.8,72,
Caldwell,Spring,88,88,754500,857500,7.61,56000,9.05,67287,23.9,62,
Caldwell,Summer,79,79,739000,780000,5.15,35000,6.69,47532,24.1,63,
Caldwell,Winter,52,52,699450,755000,3.84,20050,5.45,35274,36.5,55,
Cedar Grove,Fall,43,43,675000,707000,6.67,51000,6.46,35053,27.9,56,
Cedar Grove,Spring,59,59,685000,750000,10.86,70000,10.29,74570,11.9,59,
Cedar Grove,Summer,75,75,679000,780000,6.3,46000,7.19,49315,14.7,57,
Cedar Grove,Winter,39,39,750000,831000,5.32,55100,5.5,48272,25.6,62,
Cedar Knolls,Fall,17,17,620000,625000,2.39,16000,3.84,22956,29.4,55,
Cedar Knolls,Spring,21,21,675000,700000,5.15,35000,5.51,40509,33.3,70,
Cedar Knolls,Summer,20,20,520000,525500,4.32,30000,4.44,38060,20.0,60,
Cedar Knolls,Winter,17,17,650000,701000,4.77,35100,5.1,34744,23.5,71,
Chatham,Fall,113,113,998000,1102500,3.18,26000,5.81,67392,37.2,62,
