close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2992,1431,77,1.0,11.7,36.6,28.5,22.2,12.7,87.3,
Feb,2,2442,1167,76,2.2,24.0,25.6,20.1,28.1,26.2,73.8,
Mar,3,2922,1587,58,1.9,23.2,46.8,10.1,18.0,25.1,74.9,
Apr,4,3355,1854,57,1.9,26.9,42.4,17.7,11.0,28.9,71.1,
May,5,4024,1879,58,2.4,22.7,49.8,15.3,9.7,25.1,74.9,
Jun,6,4875,2981,61,1.6,21.1,49.5,18.8,8.9,22.8,77.2,
Jul,7,6366,3629,63,1.4,19.3,45.7,23.1,10.5,20.7,79.3,
Aug,8,5181,2783,63,1.2,19.6,45.1,22.7,11.4,20.8,79.2,
Sep,9,3999,2103,64,1.2,17.5,45.5,21.1,14.7,18.7,81.3,
Oct,10,3988,1970,63,1.1,26.8,34.8,22.5,14.9,27.8,72.2,
Nov,11,3777,1931,62,0.8,20.9,45.9,18.0,14.3,21.8,78.2,
Dec,12,3801,1818,64,1.8,15.1,44.3,24.5,14.3,16.9,83.1,
