county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Jan,1,76,14,814000,830000,6.53,51000,8.18,95787,14.3,86,
BERGEN,Feb,2,62,15,899000,930000,2.4,17000,3.84,17108,33.3,97,
BERGEN,Mar,3,96,29,899000,999999,5.08,41100,5.81,31680,34.5,65,
BERGEN,Apr,4,100,24,899000,930000,0.75,8000,2.74,2984,41.7,78,
BERGEN,May,5,89,22,899500,1073258,4.6,40000,7.38,75183,31.8,56,
BERGEN,Jun,6,77,34,932000,1083000,4.34,31500,8.33,72015,41.2,64,
BERGEN,Jul,7,164,53,899000,1111000,4.78,31000,7.59,58567,26.4,68,
BERGEN,Aug,8,131,50,899000,987000,4.33,40000,5.5,44587,30.0,64,
BERGEN,Sep,9,118,37,810000,902000,1.25,10000,4.91,34550,32.4,63,
BERGEN,Oct,10,97,28,769000,862500,5.59,41000,6.19,52365,25.0,64,
BERGEN,Nov,11,94,24,700000,756500,4.73,35500,7.13,67416,29.2,54,
BERGEN,Dec,12,96,22,970000,1040500,2.32,8500,3.76,11328,45.5,86,
ESSEX,Jan,1,684,330,749000,802500,3.71,25000,6.28,51756,33.3,78,
ESSEX,Feb,2,539,236,787000,875000,3.89,26750,7.3,63720,38.6,70,
ESSEX,Mar,3,700,356,779450,865000,8.57,54750,10.32,87095,22.5,54,
ESSEX,Apr,4,835,441,799000,895000,7.77,55100,11.1,103622,24.0,57,
ESSEX,May,5,1018,600,817000,920000,10.08,80550,12.66,117318,18.2,53,
ESSEX,Jun,6,1244,723,879000,999999,9.61,77000,11.81,116701,19.9,61,
ESSEX,Jul,7,1796,1011,849000,950000,8.7,66000,10.72,101956,22.4,62,
ESSEX,Aug,8,1419,824,827000,935500,7.27,55000,9.74,89413,24.0,65,
ESSEX,Sep,9,928,471,725000,785000,4.63,35000,6.93,52813,27.0,62,
ESSEX,Oct,10,896,419,725000,769900,4.17,25000,6.74,53826,32.5,64,
ESSEX,Nov,11,853,457,799000,855000,5.97,45000,8.01,68423,26.5,61,
ESSEX,Dec,12,906,473,775000,832500,5.94,40000,8.37,71122,27.7,62,
MIDDLESEX,Jan,1,363,231,530000,550000,1.67,7500,2.48,12472,38.5,82,
MIDDLESEX,Feb,2,332,215,549900,559000,1.01,5100,2.14,10480,37.7,76,
MIDDLESEX,Mar,3,391,240,572500,579000,2.37,12800,3.43,20266,37.5,63,
MIDDLESEX,Apr,4,401,249,550000,580000,3.72,20000,4.4,23016,26.9,66,
MIDDLESEX,May,5,418,276,549450,579750,3.55,20000,4.73,27369,25.7,62,
MIDDLESEX,Jun,6,522,360,599900,620750,3.05,15100,3.94,25155,33.9,65,
MIDDLESEX,Jul,7,766,487,565000,590000,3.33,17000,4.39,25340,29.6,70,
MIDDLESEX,Aug,8,627,393,575000,592000,3.35,16000,4.0,21138,33.3,67,
MIDDLESEX,Sep,9,503,300,538500,557500,3.6,18050,4.29,21084,30.0,65,
MIDDLESEX,Oct,10,511,324,547000,572500,2.42,12250,3.08,13918,32.7,69,
MIDDLESEX,Nov,11,483,287,569000,575000,2.09,11000,3.3,16727,33.8,69,
MIDDLESEX,Dec,12,481,288,560000,580000,1.79,10000,2.73,14893,37.8,68,
MORRIS,Jan,1,764,388,749950,762500,0.82,5625,2.31,13730,42.3,77,
MORRIS,Feb,2,650,317,699900,720000,0.87,5000,2.68,18476,44.2,78,
MORRIS,Mar,3,744,427,725000,760000,3.85,25100,5.25,46239,34.0,56,
MORRIS,Apr,4,865,507,750000,810000,5.26,35100,6.46,52674,24.9,56,
MORRIS,May,5,1074,634,799000,850500,5.96,46000,7.08,61773,24.3,52,
MORRIS,Jun,6,1286,810,787000,839950,5.21,40100,6.15,56766,25.3,61,
MORRIS,Jul,7,1795,994,799000,850000,4.92,36908,5.92,50410,27.2,64,
MORRIS,Aug,8,1490,867,750000,800000,4.13,26000,5.24,41589,28.5,63,
MORRIS,Sep,9,1027,548,748000,778164,3.65,24550,4.43,28372,33.9,66,
MORRIS,Oct,10,1041,546,745000,760000,2.67,16550,3.98,27825,36.4,62,
MORRIS,Nov,11,1013,518,717000,755000,2.51,15275,3.66,27355,35.3,63,
MORRIS,Dec,12,977,535,749900,775000,0.87,5100,3.06,20713,44.1,67,
PASSAIC,Jan,1,322,148,639450,642500,2.13,11000,3.8,23997,34.5,82,
PASSAIC,Feb,2,242,103,599999,635000,2.17,11000,3.96,21072,34.0,76,
PASSAIC,Mar,3,250,136,599450,631000,4.37,25000,4.35,25712,28.7,66,
PASSAIC,Apr,4,292,164,609950,636250,4.38,26000,5.16,30135,24.4,60,
PASSAIC,May,5,335,189,599900,630000,4.01,21000,5.02,32392,24.9,57,
PASSAIC,Jun,6,400,225,625000,675000,6.21,35000,6.69,43218,21.3,62,
PASSAIC,Jul,7,549,303,624000,660000,5.2,30100,6.32,41304,20.8,67,
PASSAIC,Aug,8,440,249,624999,660000,5.02,30000,6.06,37337,20.5,64,
PASSAIC,Sep,9,378,190,599900,625000,3.55,20000,4.18,25252,28.9,70,
PASSAIC,Oct,10,414,191,599999,660000,3.86,25000,4.6,28464,30.9,71,
PASSAIC,Nov,11,358,157,625000,630000,2.67,15001,3.89,23479,33.1,75,
PASSAIC,Dec,12,344,178,623500,640000,3.21,20050,3.29,22717,29.8,66,
SOMERSET,Jan,1,371,227,669000,676000,0.7,4999,2.16,5555,45.8,72,
SOMERSET,Feb,2,301,193,599000,600000,0.0,0,1.54,3999,52.8,73,
SOMERSET,Mar,3,344,236,627450,650750,2.04,14000,2.8,19369,38.1,61,
SOMERSET,Apr,4,406,276,677000,715000,3.33,23000,5.0,31057,32.2,59,
SOMERSET,May,5,509,360,699000,748000,3.88,25100,5.0,35084,29.4,54,
SOMERSET,Jun,6,603,441,715000,750000,4.5,30000,4.96,34456,23.8,60,
SOMERSET,Jul,7,892,624,769000,793000,3.57,25000,4.03,25736,29.6,64,
SOMERSET,Aug,8,736,495,725000,736000,2.5,17777,3.74,27783,33.7,64,
SOMERSET,Sep,9,522,366,700000,740000,2.6,15100,3.09,16985,35.0,61,
SOMERSET,Oct,10,507,329,675000,685000,1.68,10000,2.76,13646,41.9,63,
SOMERSET,Nov,11,491,310,679500,707500,0.95,5000,2.32,1940,44.5,62,
SOMERSET,Dec,12,481,314,650000,675000,0.24,1500,1.64,3872,45.9,63,
UNION,Jan,1,416,235,789000,815500,3.48,21000,4.91,44794,39.1,71,
UNION,Feb,2,318,185,799000,835000,3.93,26000,4.66,42043,33.0,70,
