county,town,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Elmwood Park,Jan,1,30,5,485000,490000,2.15,10000,2.84,21000,20.0,121,yes
BERGEN,Elmwood Park,Feb,2,26,4,524000,552000,4.01,20308,4.79,24154,0.0,92,yes
BERGEN,Elmwood Park,Mar,3,26,7,530000,550000,0.0,0,2.62,7514,57.1,92,yes
BERGEN,Elmwood Park,Apr,4,46,9,650000,650000,1.12,10000,1.48,16435,44.4,80,yes
BERGEN,Elmwood Park,May,5,31,6,589500,615000,-1.08,-7000,0.97,3250,66.7,70,yes
BERGEN,Elmwood Park,Jun,6,23,8,612500,637500,1.82,13750,4.25,23440,50.0,66,yes
BERGEN,Elmwood Park,Jul,7,44,13,599900,665000,3.67,18001,4.81,19323,23.1,69,
BERGEN,Elmwood Park,Aug,8,45,10,507450,520000,5.01,25500,4.1,21710,30.0,62,
BERGEN,Elmwood Park,Sep,9,46,10,512000,557500,1.23,5500,3.77,17860,40.0,91,
BERGEN,Elmwood Park,Oct,10,36,11,674000,730000,5.59,41000,4.63,37464,18.2,64,
BERGEN,Elmwood Park,Nov,11,44,9,540000,540000,0.0,0,2.49,15011,55.6,52,yes
BERGEN,Elmwood Park,Dec,12,43,7,675000,735000,-1.99,-14000,1.59,-2129,57.1,89,yes
BERGEN,Franklin Lakes,Jan,1,17,1,1975000,2390023,21.01,415023,21.01,415023,0.0,118,yes
BERGEN,Franklin Lakes,Feb,2,19,7,1299000,1400000,-1.09,-10000,0.68,-17429,71.4,100,yes
BERGEN,Franklin Lakes,Mar,3,33,6,1386888,1385000,1.15,19500,0.89,-42613,50.0,110,yes
BERGEN,Franklin Lakes,Apr,4,27,10,1349500,1352500,-1.05,-9500,-2.61,-81980,60.0,105,
BERGEN,Franklin Lakes,May,5,31,7,1325000,1300000,2.34,25000,2.48,29714,28.6,57,yes
BERGEN,Franklin Lakes,Jun,6,27,11,1729000,1729000,-2.04,-20000,-1.68,-29491,81.8,108,
BERGEN,Franklin Lakes,Jul,7,61,17,1595000,1725000,3.47,26000,4.95,14344,35.3,78,
BERGEN,Franklin Lakes,Aug,8,34,14,1722000,1715000,0.44,7500,2.93,7857,50.0,88,
BERGEN,Franklin Lakes,Sep,9,26,6,1277000,1234500,-2.67,-52450,-2.56,-48308,66.7,110,yes
BERGEN,Franklin Lakes,Oct,10,31,6,1039500,1065008,2.54,33000,3.59,35503,33.3,96,yes
BERGEN,Franklin Lakes,Nov,11,24,5,980000,1325000,4.84,110000,9.2,124355,40.0,64,yes
BERGEN,Franklin Lakes,Dec,12,21,7,1945000,1800000,-1.8,-34000,-1.8,-56857,71.4,190,yes
BERGEN,Glen Rock,Jan,1,29,8,994500,1205000,6.55,70500,9.91,102625,12.5,80,yes
BERGEN,Glen Rock,Feb,2,17,4,769000,829000,9.47,72000,8.44,70500,0.0,72,yes
BERGEN,Glen Rock,Mar,3,37,16,889000,999999,8.87,73000,9.04,70112,18.8,54,
BERGEN,Glen Rock,Apr,4,27,5,979000,1160000,18.4,136000,15.7,148700,0.0,63,yes
BERGEN,Glen Rock,May,5,27,9,945000,1200000,12.73,140001,15.47,158502,11.1,50,yes
BERGEN,Glen Rock,Jun,6,27,15,899000,1081000,15.85,132000,17.83,172360,6.7,59,
BERGEN,Glen Rock,Jul,7,59,23,899000,1125000,12.34,106000,11.11,113435,21.7,58,
BERGEN,Glen Rock,Aug,8,52,26,919000,999999,6.84,56000,7.42,73163,19.2,62,
BERGEN,Glen Rock,Sep,9,46,21,979000,999000,4.43,31000,7.58,66171,19.0,58,
BERGEN,Glen Rock,Oct,10,30,11,899000,1052000,7.16,50100,9.18,76464,27.3,61,
BERGEN,Glen Rock,Nov,11,26,10,849000,915000,10.66,85500,10.27,86110,0.0,50,
BERGEN,Glen Rock,Dec,12,32,8,917000,1040500,10.45,98500,10.53,82764,12.5,56,yes
ESSEX,Caldwell,Jan,1,50,26,650000,712500,4.74,20050,6.31,50841,15.4,79,
ESSEX,Caldwell,Feb,2,38,22,677500,672500,0.0,0,5.83,47651,59.1,54,
ESSEX,Caldwell,Mar,3,36,18,712450,772950,7.03,40050,5.9,20922,44.4,53,
ESSEX,Caldwell,Apr,4,42,25,698880,700000,3.13,11000,6.59,48937,32.0,66,
ESSEX,Caldwell,May,5,57,34,765000,825500,8.6,55550,9.14,74385,35.3,50,
ESSEX,Caldwell,Jun,6,74,38,787450,912500,6.72,50050,7.68,57747,18.4,57,
ESSEX,Caldwell,Jul,7,98,45,739000,780000,5.52,36000,6.64,44496,24.4,69,
ESSEX,Caldwell,Aug,8,68,37,749000,836000,3.9,26000,6.67,44447,27.0,68,
ESSEX,Caldwell,Sep,9,38,16,724000,770000,3.76,20550,4.06,38194,25.0,70,
ESSEX,Caldwell,Oct,10,49,21,678825,705000,5.31,29000,7.13,49487,19.0,54,
ESSEX,Caldwell,Nov,11,42,19,629000,645000,3.76,16000,2.64,468,31.6,68,
