month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,1053,455,650000,669000,1.38,10000,3.43,18554,39.6,77,
Jan,1,2025,1013,572,692000,730000,2.62,17000,4.33,30312,34.1,75,
Jan,1,2026,930,546,729000,750000,1.27,9500,3.34,29647,43.4,77,
Feb,2,2024,929,420,650000,678000,2.08,11000,4.26,27806,39.5,69,
Feb,2,2025,752,435,665000,680000,1.59,10100,3.25,21260,40.0,77,
Feb,2,2026,763,409,725000,750000,0.95,5100,3.55,32270,42.8,79,
Mar,3,2024,1093,539,689000,715000,4.78,27500,5.9,42406,29.3,57,
Mar,3,2025,891,556,716500,760000,4.9,32466,6.81,57377,28.4,58,
Mar,3,2026,957,586,718940,750000,2.85,18850,5.09,46221,35.5,59,
Apr,4,2024,1358,695,699000,737500,5.62,35000,7.45,58570,25.2,57,
Apr,4,2025,1018,624,749000,807500,5.79,41000,7.69,62350,24.2,57,
Apr,4,2026,994,636,737000,775000,4.35,30000,6.27,55609,26.6,58,
May,5,2024,1509,786,707500,776000,7.55,50000,8.56,66339,20.9,61,
May,5,2025,1258,813,770000,825000,5.91,40000,8.06,69892,22.9,56,
May,5,2026,1288,886,775000,844930,5.12,35500,7.41,71190,26.7,50,
Jun,6,2024,1735,922,749000,800000,7.18,50000,8.3,68156,19.3,61,
Jun,6,2025,1476,1011,779000,840000,5.84,42000,7.65,68328,23.4,62,
Jun,6,2026,1676,1188,799000,865500,4.75,35000,6.9,68931,26.9,61,
Jul,7,2023,1888,846,675000,725000,5.37,32000,6.58,47332,22.2,64,
Jul,7,2024,1810,995,749900,800000,6.52,45000,7.51,59517,22.7,63,
Jul,7,2025,1521,1005,799000,850000,5.07,35000,7.04,62907,26.9,63,
Jul,7,2026,1736,1244,815000,875000,4.29,31000,6.66,63798,28.1,65,
Aug,8,2023,1893,951,700000,750000,5.12,31000,6.36,48717,24.3,64,
Aug,8,2024,1843,1067,749000,800000,5.58,36000,7.1,59596,23.8,63,
Aug,8,2025,1455,955,775000,803030,3.87,25000,5.21,43644,31.9,65,
Aug,8,2026,535,495,815000,860000,3.08,22000,6.26,61052,32.1,65,
Sep,9,2023,1417,698,675000,703000,3.98,24761,5.14,35319,29.2,62,
Sep,9,2024,1320,733,699000,750000,4.5,26000,5.56,37522,27.7,64,
Sep,9,2025,1268,797,745000,775000,2.42,15000,3.84,27582,37.1,67,
Oct,10,2023,1378,623,625000,650000,3.19,19000,4.19,25004,32.7,64,
Oct,10,2024,1362,708,693500,726000,3.03,20000,4.49,29545,32.8,66,
Oct,10,2025,1251,807,749000,775000,2.74,16000,4.6,38053,37.1,62,
Nov,11,2023,1288,629,675000,701000,3.23,20000,5.07,33759,32.9,61,
Nov,11,2024,1387,705,699900,743000,3.27,21000,4.91,36051,31.5,62,
Nov,11,2025,1108,718,730000,765000,2.08,15100,4.32,35010,36.8,64,
Dec,12,2023,1240,615,679000,705000,2.77,15100,4.39,28905,36.4,63,
Dec,12,2024,1269,699,699000,735000,2.78,20000,4.38,31039,33.5,63,
Dec,12,2025,1298,809,749000,770000,1.56,10000,4.24,36141,40.8,67,
