month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2998,1575,689000,715000,1.84,11000,3.72,26632,39.0,77,
Feb,2,2446,1261,689000,700000,1.56,10000,3.66,26847,40.8,75,
Mar,3,2944,1682,699900,745750,4.09,25100,5.9,48584,31.3,58,
Apr,4,3374,1958,725000,765500,5.33,35000,7.14,58793,25.3,57,
May,5,4066,2486,749900,810000,6.06,40750,7.99,69215,23.6,55,
Jun,6,4901,3121,775000,835000,5.93,41000,7.55,68450,23.5,61,
Jul,7,6990,4091,769000,820000,5.18,35100,6.94,59074,25.3,64,
Aug,8,6293,3833,750000,801000,4.48,30000,6.14,52098,28.3,64,
Sep,9,4013,2226,699000,740000,3.61,21000,4.8,33164,31.5,64,
Oct,10,4000,2139,699000,725000,2.96,19000,4.46,31563,34.4,64,
Nov,11,3793,2054,699000,735000,2.9,20000,4.74,34935,33.8,63,
Dec,12,3808,2124,699994,740000,2.38,15000,4.33,32364,37.1,64,
