month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,747,744,742500,775000,2.62,20000,5.06,43148,35.9,65,
Feb,2,977,966,759000,810000,5.0,35000,6.94,62949,26.2,60,
Mar,3,1207,1192,795000,849500,6.67,50000,8.75,79606,21.1,58,
Apr,4,1586,1570,799900,882250,6.36,50000,8.22,78253,20.8,61,
May,5,2021,1995,819000,895000,6.19,50000,8.38,80537,22.3,62,
Jun,6,1751,1745,799000,860000,4.91,35000,6.73,60493,26.7,61,
Jul,7,1424,1418,777000,820000,3.65,25000,5.07,40032,33.1,59,
Aug,8,728,728,749948,782500,2.65,19500,4.3,30292,36.3,61,
Sep,9,676,675,764326,800000,3.04,21500,5.11,47795,34.4,63,
Oct,10,828,821,795000,835000,2.08,15000,4.54,40745,39.8,69,
Nov,11,750,747,749999,790000,2.16,15000,4.36,35024,38.2,75,
Dec,12,699,696,699900,720000,1.43,9556,3.04,20018,41.7,72,
