town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,433,433,839000,863652,2.89,21000,3.99,36397,30.7,63,
Bedminster,210,210,490000,500500,2.35,10050,3.13,14924,32.9,54,
Berkeley Heights,195,194,839000,892500,6.77,54054,7.83,72138,21.1,58,
Bernardsville,117,117,949000,1050000,2.9,20001,2.74,-621,41.9,64,
Boonton,203,202,684950,725000,2.67,20050,4.37,28117,30.2,64,
Branchburg,288,287,599000,615000,1.89,10600,2.64,16249,40.8,60,
Bridgewater,508,508,660950,700000,2.33,15000,3.42,23281,34.8,61,
Caldwell,223,223,750000,825000,5.5,36000,7.55,56927,26.9,62,
Cedar Grove,134,134,749000,799545,9.4,68000,9.01,62317,14.2,58,
Cedar Knolls,41,41,735000,765000,4.77,35100,5.89,47326,22.0,63,
Chatham,308,308,1299000,1550000,6.47,85000,8.71,112681,25.6,61,
Chester,146,145,949000,968500,1.96,16000,2.59,16934,42.1,69,
Clark,130,130,709500,750000,3.43,22778,2.75,17206,28.5,64,
Colonia,62,62,599900,632500,4.8,30100,4.73,28427,22.6,72,
Cranford,263,263,759000,825000,5.11,39100,6.43,48255,24.0,56,
Denville,298,294,672450,699900,3.48,25000,4.4,28313,32.7,61,
East Hanover,120,120,834000,882500,4.6,39100,5.7,49220,24.2,61,
Edison,141,141,649000,655000,0.77,5000,2.15,14398,41.8,71,
Elmwood Park,53,53,649000,650000,1.12,10000,2.56,13240,47.2,69,
Essex Fells,24,24,1549000,1502500,-0.59,-5000,0.78,-22079,54.2,68,
Fairfield,38,38,809450,871500,3.93,30550,6.38,56044,26.3,67,
Fanwood,110,110,749000,810000,6.2,44850,7.09,54523,22.7,57,
Florham Park,131,131,999000,1071000,3.45,30100,4.7,41763,33.6,59,
Franklin Lakes,59,59,1679000,1729000,0.0,0,1.71,-15967,57.6,98,
Garwood,59,59,689000,700000,3.71,25000,3.12,22081,30.5,61,
Gillette,56,56,649750,692500,2.19,15500,3.48,28811,41.1,68,
Glen Ridge,145,126,924450,1195000,22.12,226000,20.91,228186,9.5,58,
Glen Rock,78,78,963500,1092500,9.78,90850,10.57,100415,17.9,59,
Green Brook,153,153,569900,595000,1.77,10100,2.5,12340,38.6,67,
Hanover Township,93,92,682500,707450,3.63,26000,6.13,40819,27.2,52,
Livingston,351,351,1050000,1150000,2.06,25000,4.8,43145,39.3,67,
Long Valley,170,170,732000,756000,3.49,21000,3.06,18698,31.8,63,
Madison,189,189,1149000,1300000,6.71,66000,9.04,96977,25.4,63,
Maplewood,392,390,872500,1060000,11.18,101500,14.26,136023,15.4,55,
Martinsville,60,60,832000,865000,2.15,22050,3.01,18812,38.3,62,
Mendham,201,201,1150000,1175000,0.0,0,2.4,14247,51.2,69,
Metuchen,55,55,682000,718000,6.37,40000,7.31,54919,25.5,59,
Millburn,92,91,1295000,1414000,6.47,80000,7.54,83260,28.6,62,
Millington,48,48,839000,866000,4.63,31500,5.29,45207,25.0,54,
Montclair,497,449,999998,1225000,17.41,175901,17.89,204045,14.5,59,
Montville,169,169,774900,805816,4.19,32600,4.55,36980,27.2,70,
Morris Plains,261,260,717000,735000,2.63,16000,4.77,33884,31.2,60,
Morristown,535,534,799900,860000,3.95,31000,5.6,50123,32.8,64,
Mountain Lakes,75,75,1199000,1200000,3.57,30000,5.41,55297,40.0,80,
Mountainside,92,92,959500,1022625,2.79,27500,5.04,47480,37.0,65,
New Providence,176,176,899000,999999,9.03,83000,9.57,94986,20.5,56,
North Haledon,167,166,649700,670000,2.22,15000,3.75,22655,33.7,71,
Nutley,264,264,629950,670000,3.5,20000,4.75,28307,28.4,66,
Parsippany-Troy Hills,266,264,669950,688684,4.21,25000,4.49,28409,31.8,59,
Pompton Lakes,141,141,499900,530000,3.88,17500,4.71,23035,29.8,66,
Pompton Plains,97,97,649900,659000,3.09,20001,3.26,17335,32.0,63,
Randolph,324,324,764750,819052,3.55,26000,4.69,36790,29.6,64,
Roseland,52,52,759500,795000,6.28,42550,6.74,52783,25.0,62,
Scotch Plains,302,302,839950,899500,4.51,32950,6.5,60104,30.1,62,
Short Hills,211,210,2292000,2414000,3.5,70000,5.65,93862,40.0,70,
South Orange,240,238,962000,1119000,10.86,101050,12.69,132171,16.8,61,
South Plainfield,100,100,553500,572500,2.23,11050,2.66,15562,30.0,64,
Springfield,209,209,645000,680000,4.01,22000,4.95,32895,27.3,63,
Stirling,29,29,675000,680000,5.13,36000,4.14,39955,24.1,57,
Summit,310,310,1300000,1492500,10.06,129250,10.69,143943,22.9,59,
Totowa,79,79,630000,693000,3.41,21000,3.8,18956,27.8,71,
Towaco,80,80,764500,792500,2.1,18500,4.53,48480,33.8,64,
Verona,223,218,686500,800000,7.8,45110,10.03,78037,26.1,61,
Warren,235,234,1199950,1200000,0.0,0,0.97,3095,58.1,76,
Watchung,80,80,999950,1050000,1.79,18495,2.21,16898,46.2,70,
Wayne,598,596,699900,749500,4.6,30100,5.75,43457,24.2,65,
West Orange,596,594,639450,681250,7.42,46000,8.54,58258,19.7,62,
Westfield,452,452,1186000,1318750,7.0,75000,8.55,95092,22.3,57,
Woodbridge,58,58,487000,512500,3.06,15000,4.06,18811,27.6,62,
Woodland Park,232,232,599000,622500,3.45,18500,4.21,24214,31.0,63,
