town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,1248,908,839000,875000,4.0,26000,5.05,40647,27.1,59,
Bedminster,637,406,477000,490000,3.16,15000,3.83,10341,30.5,54,
Berkeley Heights,540,362,799000,857500,6.22,46000,7.08,61408,24.0,58,
Bernardsville,390,264,925000,996500,1.81,14000,2.31,-4076,44.7,65,
Boonton,604,375,650000,680000,2.67,18100,4.31,25220,31.7,65,
Branchburg,864,583,565000,589000,3.06,15100,3.77,21542,33.3,61,
Bridgewater,1480,998,650000,695000,2.79,18518,3.59,24489,33.1,62,
Caldwell,658,331,725000,770000,5.03,31000,6.76,48018,28.1,64,
Cedar Grove,528,243,699900,762000,8.11,53000,7.88,55286,17.7,59,
Cedar Knolls,98,80,632000,645000,4.37,25000,5.0,35255,25.0,62,
Chatham,1029,642,1200000,1388500,5.6,56000,7.61,92685,29.9,63,
Chester,446,286,927000,950000,2.0,20000,3.1,24788,38.8,70,
Clark,517,263,680000,690000,3.09,20001,3.07,18008,30.0,62,
Colonia,649,457,599000,620000,2.78,16000,3.85,21474,30.9,72,
Cranford,889,487,729000,775000,5.02,34567,6.11,44727,24.4,56,
Denville,1034,537,615000,650000,3.85,25000,4.41,27721,30.5,62,
East Hanover,630,208,792450,846500,4.61,35505,5.25,43792,25.0,61,
Edison,3032,1884,589900,610000,1.94,11000,3.03,16358,37.1,69,
Elmwood Park,448,104,575000,600000,2.71,13500,3.38,18388,38.5,73,
Essex Fells,95,40,1499000,1500000,-0.59,-5000,1.44,-22898,60.0,67,
Fairfield,282,92,714450,745000,3.44,25500,4.99,40430,32.6,69,
Fanwood,296,212,725000,768750,6.01,36000,6.6,47818,22.2,60,
Florham Park,520,278,925000,997000,2.54,24468,4.29,36979,37.8,64,
Franklin Lakes,370,103,1595000,1520000,0.0,0,1.32,-8967,55.3,94,
Garwood,195,113,649900,685000,3.71,20500,4.11,27027,29.2,61,
Gillette,146,101,645000,655000,2.24,15000,3.65,28378,39.6,64,
Glen Ridge,360,226,862000,1104105,21.13,191000,19.67,198009,12.4,58,
Glen Rock,429,165,915000,1050000,9.68,85000,10.32,96239,17.0,60,
Green Brook,543,375,531300,550000,2.0,10250,3.02,13618,37.3,68,
Haledon,100,32,499000,540000,4.84,26500,5.76,28388,25.0,61,
Hanover Township,352,168,659500,697000,4.62,30000,6.18,39761,23.8,53,
Livingston,1511,708,999999,1117500,2.07,25000,4.84,41741,39.5,67,
Long Valley,523,343,699000,715000,3.68,25000,4.01,25110,30.0,62,
Madison,576,376,1075000,1172500,5.02,51000,7.3,76093,29.8,64,
Maplewood,1103,743,850000,999000,9.79,83500,12.47,115175,19.2,56,
Martinsville,171,123,775000,810000,2.65,20000,3.36,22315,35.0,64,
Mendham,417,331,1070000,1095000,0.11,1000,2.25,9254,49.8,67,
Mendham Township,123,52,1189500,1187500,0.8,10000,1.59,9084,42.3,70,
Metuchen,681,437,675000,705000,4.0,25000,5.26,36997,28.1,61,
Millburn,326,206,1188444,1278888,6.29,61500,7.66,82901,29.6,60,
Millington,114,80,827000,856000,4.63,35000,4.96,43320,25.0,56,
Montclair,1553,798,989000,1200000,17.06,155000,17.96,194865,15.0,60,
Montville,671,266,744000,788805,4.41,30100,4.52,33022,28.9,69,
Morris Plains,904,510,662504,705000,4.2,25100,5.26,36395,27.5,59,
Morris Township,407,214,799000,850000,3.94,30000,5.71,46914,28.5,62,
