address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_pct,property_type,conflicts,_sources
105 MARC BLVD,07005,Boonton,2023-05-07,2023-07-01,63,589000,640000,8.66,Single Family,,"listing_scrape,nj_records"
305 RESERVE ST,07005,Boonton,2023-06-06,2023-07-13,43,650000,725000,11.54,Single Family,,"listing_scrape,nj_records"
40 BIRCHWOOD LN,07005,Boonton,2023-06-02,2023-07-20,55,799999,795000,-0.62,Single Family,garage,"listing_scrape,nj_records"
529 BOONTON AVE,07005,Boonton,2023-05-11,2023-08-02,110,399000,350000,-12.28,Single Family,sold_date,"listing_scrape,nj_records"
129 WILSON ST,07005,Boonton,2023-08-09,2023-08-10,11,799000,801000,0.25,Multi-Family,year_built,"listing_scrape,nj_records"
214 LIBERTY ST,07005,Boonton,2023-06-26,2023-08-10,57,569900,575000,0.89,Multi-Family,year_built,"listing_scrape,nj_records"
141 WILSON ST,07005,Boonton,2023-06-21,2023-09-21,99,369000,390000,5.69,Single Family,,"listing_scrape,nj_records"
5 GROVE ST,07005,Boonton,2023-08-31,2023-10-05,49,499000,595000,19.24,Single Family,,"listing_scrape,nj_records"
427 ROCKAWAY VALLEY RD,07005,Boonton,2023-08-13,2023-11-03,91,749900,700000,-6.65,Single Family,,"listing_scrape,nj_records"
222 CORNELIA ST,07005,Boonton,2023-10-04,2023-11-20,56,599000,680000,13.52,Multi-Family,year_built,"listing_scrape,nj_records"
708 WILLIAM ST,07005,Boonton,2023-10-05,2023-11-20,52,559000,559000,0.0,Condo,,"listing_scrape,nj_records"
130 WOOTTON ST,07005,Boonton,2023-10-30,2023-12-07,57,425000,519000,22.12,Single Family,,"listing_scrape,nj_records"
130 FAIRVIEW AVE,07005,Boonton,2023-12-06,2024-02-02,70,689000,701000,1.74,Single Family,year_built,"listing_scrape,nj_records"
7 COOPER DR,07005,Boonton,2023-12-18,2024-02-05,58,639900,630000,-1.55,Multi-Family,,"listing_scrape,nj_records"
