address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_pct,property_type,conflicts,_sources
4 ASHWOOD TRL,07005,Boonton,2024-03-13,2023-12-07,,599000,653000,9.02,Condo,year_built,"listing_scrape,nj_records"
945 WOOTTON ST,07005,Boonton,2024-03-13,2023-12-07,,749900,791000,5.48,Single Family,,"listing_scrape,nj_records"
116 Redgate Rd,07005,Boonton,2024-03-13,2023-12-15,,539000,575000,6.68,Single Family,,listing_scrape
175 OVERLOOK AVE,07005,Boonton,2024-03-13,2023-12-15,,575000,575000,0.0,Single Family,,"listing_scrape,nj_records"
3 CANTERBURY RD,07005,Boonton,2024-03-31,2024-01-10,,849999,960000,12.94,Single Family,,"listing_scrape,nj_records"
318 WILLIAM ST,07005,Boonton,2024-03-31,2024-01-17,,549000,592000,7.83,Single Family,,"listing_scrape,nj_records"
24 Dogwood Ln,07005,Boonton,2024-05-16,2024-03-13,,749500,765000,2.07,Single Family,,listing_scrape
9 Lakeview Ave,07005,Boonton,2024-06-28,2024-04-11,,649000,737395,13.62,Single Family,,listing_scrape
7 Lakeside Dr,07005,Boonton,2024-08-04,2024-05-08,,699000,765000,9.44,Single Family,,listing_scrape
5 Kingsland Rd,07005,Boonton,2024-08-04,2024-05-10,,849990,825000,-2.94,Single Family,,listing_scrape
162 ROESSLER ST,07005,Boonton,2024-08-04,2024-05-16,,482000,511000,6.02,Single Family,,"listing_scrape,nj_records"
320 HILL ST,07005,Boonton,2024-08-04,2024-05-17,,409000,482000,17.85,Single Family,,"listing_scrape,nj_records"
6 Woodland Dr,07005,Boonton,2024-08-04,2024-05-29,,475000,525000,10.53,Single Family,,listing_scrape
432 W MAIN ST,07005,Boonton,2025-01-08,2024-11-22,,675000,665000,-1.48,Single Family,,"listing_scrape,nj_records"
3 Banks Dr Unit 2,07005,Boonton,2025-03-04,2025-03-03,,679000,679000,0.0,Single Family,,listing_scrape
19 Oak Rd,07005,Boonton,2025-09-19,2025-07-14,,630000,620000,-1.59,Single Family,,listing_scrape
150 Kanouse St,07005,Boonton,2026-03-30,2025-10-27,,449900,435000,-3.31,Single Family,,listing_scrape
2 Patrick Ct,07005,Boonton,2026-04-19,2026-01-20,,2999999,2999999,0.0,Single Family,,listing_scrape
20 Birdie Ln,07005,Boonton,2026-04-19,2026-02-02,,749000,749000,0.0,Single Family,,listing_scrape
2 Birdie Ln,07005,Boonton,2026-05-19,2026-03-13,,850000,850000,0.0,Single Family,,listing_scrape
101 Oak St,07005,Boonton,2026-06-02,2026-05-19,,440000,440000,0.0,Single Family,,listing_scrape
16 WESTVILLE AVE,07006,Caldwell,2025-01-31,2023-07-06,,610000,615000,0.82,Single Family,,"listing_scrape,nj_records"
27 CENTRAL AVE UNIT 3,07006,Caldwell,2023-09-02,2023-08-18,,314900,315000,0.03,Condo,,"listing_scrape,nj_records"
18 MAGNOLIA LA,07006,Caldwell,2023-09-02,2023-09-01,12,429900,412500,-4.05,Condo,,"listing_scrape,nj_records"
62 Central Ave,07006,Caldwell,2025-06-09,2023-10-06,,685000,675000,-1.46,Multi-Family,,listing_scrape
8 Jennifer Ct Unit 8,07006,Caldwell,2024-03-13,2023-12-08,,580000,591000,1.9,Townhouse,,"listing_scrape,nj_records"
356 CENTRAL AVENUE,07006,North Caldwell,2024-03-13,2023-12-15,,835900,785000,-6.09,Single Family,,"listing_scrape,nj_records"
19 Dana Pl,07006,Caldwell,2024-03-13,2023-12-18,,759000,780000,2.77,Single Family,,listing_scrape
7 DOGWOOD PLACE,07006,North Caldwell,2024-03-13,2023-12-18,,685000,675000,-1.46,Single Family,,"listing_scrape,nj_records"
244 Westville Ave,07006,Caldwell,2024-03-13,2023-12-22,,525000,600000,14.29,Single Family,,listing_scrape
32 HAMILTON DRIVE EAST,07006,North Caldwell,2024-03-31,2024-01-11,,899900,950000,5.57,Single Family,,"listing_scrape,nj_records"
1 ORCHARD SQUARE,07006,Caldwell,2024-04-16,2024-01-24,,400000,385000,-3.75,Single Family,,"listing_scrape,nj_records"
26 OVERLOOK RD,07006,Caldwell,2024-08-11,2024-05-14,,815000,815000,0.0,Single Family,,"listing_scrape,nj_records"
11 BLACKBERRY LANE,07006,North Caldwell,2024-08-04,2024-05-16,,1499000,1700000,13.41,Single Family,,"listing_scrape,nj_records"
52 Four Seasons Dr,07006,Caldwell,2024-08-04,2024-05-20,,780000,780000,0.0,Condo,,listing_scrape
10 Washington Ave,07006,Caldwell,2024-08-04,2024-05-28,,649000,649000,0.0,Single Family,,listing_scrape
26 CLEVELAND RD,07006,Caldwell,2024-08-04,2024-05-29,,749000,965000,28.84,Single Family,,"listing_scrape,nj_records"
13 Dodd Rd,07006,Caldwell,2024-08-04,2024-05-30,,579000,700000,20.9,Single Family,,listing_scrape
50 Laurel Pl,07006,Caldwell,2024-08-04,2024-05-31,,529900,610000,15.12,Single Family,,listing_scrape
7 Orient Way,07006,Caldwell,2024-08-04,2024-06-03,,899000,915000,1.78,Single Family,,listing_scrape
137 Park Ave,07006,Caldwell,2025-08-14,2024-06-12,,749900,759900,1.33,Single Family,,listing_scrape
27 Mc Nish Way,07006,Caldwell,2024-10-28,2024-08-09,,739900,750000,1.37,Townhouse,,listing_scrape
4 Twin Brook Rd,07006,Caldwell,2025-08-19,2024-09-06,,849900,875000,2.95,Single Family,,listing_scrape
15 Squire Hill Rd,07006,Caldwell,2025-04-02,2025-02-28,,2500000,2500000,0.0,Single Family,,listing_scrape
18 Eton Dr,07006,Caldwell,2025-05-01,2025-04-30,,1100000,1100000,0.0,Single Family,,listing_scrape
27 Myrtle Ave,07006,Caldwell,2025-07-02,2025-06-27,,710000,710000,0.0,Single Family,,listing_scrape
5 Acorn Pl,07006,Caldwell,2025-09-23,2025-08-14,,1250000,1250000,0.0,Single Family,,listing_scrape
123 Four Seasons Dr Unit 123,07006,Caldwell,2025-09-15,2025-09-12,,779000,800000,2.7,Condo,,listing_scrape
66 Westover Ave,07006,Caldwell,2026-03-30,2025-10-01,,849900,795000,-6.46,Single Family,,listing_scrape
88 Park Ave,07006,Caldwell,2026-01-28,2025-11-17,,575000,650000,13.04,Single Family,,listing_scrape
433 Mountain Ave,07006,Caldwell,2025-12-02,2025-12-01,,1495000,1800000,20.4,Multi-Family,,listing_scrape
9 Acorn Pl,07006,Caldwell,2026-03-25,2026-01-06,,1099000,1100000,0.09,Single Family,,listing_scrape
4 Willow Ln,07006,Caldwell,2026-05-30,2026-05-29,,950000,950000,0.0,Single Family,,listing_scrape
50 Sherman Ave,07009,Cedar Grove,2024-08-30,2023-08-04,,629900,675000,7.16,Single Family,,listing_scrape
30 David Rd,07009,Cedar Grove,2025-04-10,2023-09-07,,399000,435000,9.02,Single Family,,listing_scrape
1012 Holly Ln Unit 120,07009,Cedar Grove,2025-01-31,2023-11-03,,699000,705000,0.86,Condo,,listing_scrape
405 Holly Ln,07009,Cedar Grove,2024-08-04,2024-05-15,,575000,628000,9.22,Condo,,listing_scrape
9 CARMELLA COURT,07009,Cedar Grove,2024-08-30,2024-05-16,,1295000,1285000,-0.77,Single Family,,"listing_scrape,nj_records"
35 DAVID ROAD,07009,Cedar Grove,2024-08-04,2024-05-21,,429000,520000,21.21,Single Family,,"listing_scrape,nj_records"
257 CEDAR STREET,07009,Cedar Grove,2024-08-04,2024-05-28,,869900,915000,5.18,Single Family,,"listing_scrape,nj_records"
75 Sunrise Ter,07009,Cedar Grove,2026-03-30,2025-11-14,,699000,720000,3.0,Single Family,,listing_scrape
51 Essex Rd,07009,Cedar Grove,2026-01-29,2025-12-18,,739000,710000,-3.92,Single Family,,listing_scrape
107 Harper Ter,07009,Cedar Grove,2026-04-19,2026-02-11,,899000,870000,-3.23,Single Family,,listing_scrape
15 SUTTON PL,07016,Cranford,2023-08-18,2023-08-14,,825000,850000,3.03,Single Family,,"listing_scrape,nj_records"
38 BALMIERE PKWY,07016,Cranford,2024-08-30,2023-08-24,,799999,805000,0.63,Single Family,,"listing_scrape,nj_records"
14 WEST END PL,07016,Cranford,2023-10-11,2023-10-03,,375000,385000,2.67,Townhouse,,"listing_scrape,nj_records"
49 MYRTLE ST,07016,Cranford,2024-08-30,2023-12-01,,799000,845024,5.76,Single Family,,"listing_scrape,nj_records"
25 LENHOME DR,07016,Cranford,2024-03-13,2023-12-05,,739000,775000,4.87,Single Family,,"listing_scrape,nj_records"
37 MENDELL AVE,07016,Cranford,2024-03-13,2023-12-19,,799000,880000,10.14,Single Family,,"listing_scrape,nj_records"
239 HILLSIDE AVE,07016,Cranford,2025-01-31,2024-01-10,,589900,635500,7.73,Single Family,,"listing_scrape,nj_records"
100 UNION AVE S,07016,Cranford,2024-03-31,2024-01-11,,485000,510000,5.15,Single Family,,"listing_scrape,nj_records"
30 Springfield Ave Apt D,07016,Cranford,2025-01-31,2024-04-12,,949000,875000,-7.8,Townhouse,,"listing_scrape,nj_records"
2 LENOX AVE,07016,Cranford,2024-07-22,2024-04-24,,925000,925000,0.0,Single Family,,"listing_scrape,nj_records"
401 CENTRAL AVE,07016,Cranford,2024-08-04,2024-05-06,,899000,975000,8.45,Single Family,,"listing_scrape,nj_records"
16 PRINCETON RD,07016,Cranford,2024-08-04,2024-05-09,,749000,770000,2.8,Single Family,,"listing_scrape,nj_records"
220 COLUMBIA AVE,07016,Cranford,2024-08-04,2024-05-09,,599900,648822,8.16,Single Family,,"listing_scrape,nj_records"
505 SPRINGFIELD AVE,07016,Cranford,2024-08-04,2024-05-09,,1250000,1255000,0.4,Single Family,,"listing_scrape,nj_records"
321 North Ave Unit 128,07016,Cranford,2024-08-04,2024-05-10,,500000,550000,10.0,Condo,,listing_scrape
99 BURNSIDE AVE,07016,Cranford,2024-08-04,2024-05-13,,659000,800000,21.4,Single Family,,"listing_scrape,nj_records"
22A Parkway Vlg,07016,Cranford,2024-08-04,2024-05-15,,349900,345000,-1.4,Condo,,listing_scrape
310 LINCOLN AVE E,07016,Cranford,2024-08-04,2024-05-15,,612000,710000,16.01,Single Family,,"listing_scrape,nj_records"
239 WALNUT AVE,07016,Cranford,2024-08-04,2024-05-21,,799900,825000,3.14,Single Family,,"listing_scrape,nj_records"
130 CENTENNIAL AVE,07016,Cranford,2024-08-11,2024-05-22,,525000,581000,10.67,Single Family,,"listing_scrape,nj_records"
509 LINCOLN PARK E,07016,Cranford,2024-08-04,2024-05-28,,339900,339900,0.0,Condo,,"listing_scrape,nj_records"
19 SHETLAND DR,07016,Cranford,2024-08-11,2024-05-29,,1299000,1300000,0.08,Single Family,year_built,"listing_scrape,nj_records"
2 ADAMS AVE,07016,Cranford,2024-08-04,2024-05-29,,699000,830000,18.74,Single Family,,"listing_scrape,nj_records"
22 Riverside Dr Apt C6,07016,Cranford,2024-08-04,2024-05-31,,419000,419000,0.0,Condo,,listing_scrape
217 Prospect Ave Unit 3B,07016,Cranford,2025-12-23,2024-06-18,,399900,426000,6.53,Condo,,listing_scrape
716 Orange Ave,07016,Cranford,2025-02-05,2024-12-03,,699000,710000,1.57,Single Family,,listing_scrape
18 Hampton St,07016,Cranford,2025-09-19,2025-04-04,,1200000,1300000,8.33,Single Family,,listing_scrape
205 Edgar Ave,07016,Cranford,2025-04-25,2025-04-14,,749000,735000,-1.87,Single Family,,listing_scrape
733 Willow St,07016,Cranford,2025-06-05,2025-06-03,,889000,960000,7.99,Single Family,,listing_scrape
202 Elizabeth Ave,07016,Cranford,2025-07-07,2025-06-27,,749000,760000,1.47,Single Family,,listing_scrape
8A Parkway Vlg,07016,Cranford,2025-07-22,2025-07-21,,280000,292000,4.29,Condo,,listing_scrape
30 Carolina St,07016,Cranford,2026-06-07,2026-04-02,,850000,935000,10.0,Single Family,,listing_scrape
3 HATHAWAY LANE,07021,Essex Fells,2023-08-12,2023-08-09,,1650000,1650000,0.0,Single Family,,"listing_scrape,nj_records"
22 Welsh Rd,07021,Essex Fells,2025-05-31,2025-05-30,,1562500,1562500,0.0,Single Family,,listing_scrape
220 FARLEY AVE,07023,Fanwood,2023-09-08,2023-08-31,,700000,700000,0.0,Single Family,,"listing_scrape,nj_records"
6 CLEMENT PL,07023,Fanwood,2023-09-25,2023-09-14,,485000,506000,4.33,Single Family,,"listing_scrape,nj_records"
214 Marian Ave,07023,Fanwood,2024-03-31,2024-01-05,,730000,815500,11.71,Single Family,,listing_scrape
118 S GLENWOOD RD,07023,Fanwood,2025-07-23,2024-05-01,,550000,575000,4.55,Single Family,,"listing_scrape,nj_records"
23 COTTAGE WAY,07023,Fanwood,2024-08-04,2024-05-04,,920000,929000,0.98,Single Family,,"listing_scrape,nj_records"
31 BEECH AVE,07023,Fanwood,2024-08-04,2024-05-17,,589675,628000,6.5,Single Family,,"listing_scrape,nj_records"
47 POPLAR PL,07023,Fanwood,2024-08-04,2024-05-23,,650000,760000,16.92,Single Family,year_built,"listing_scrape,nj_records"
75 2nd St,07023,Fanwood,2024-08-04,2024-05-31,,599000,680000,13.52,Single Family,,listing_scrape
9 BROHM PLACE,07023,Fanwood,2024-11-19,2024-09-05,,645000,645000,0.0,Single Family,,"listing_scrape,nj_records"
25 WATSON RD,07023,Fanwood,2024-10-26,2024-10-15,,650000,760000,16.92,Single Family,,"listing_scrape,nj_records"
6 Shady Ln,07023,Fanwood,2025-09-19,2025-06-27,,729000,779000,6.86,Single Family,,listing_scrape
45 Waldon Rd,07023,Fanwood,2026-01-22,2025-11-13,,699900,825000,17.87,Single Family,,listing_scrape
50 1st St,07023,Fanwood,2026-04-19,2026-01-21,,469000,455000,-2.99,Single Family,,listing_scrape
399 4th Ave,07027,Garwood,2025-01-31,2023-08-24,,620000,691000,11.45,Single Family,,listing_scrape
363 HICKORY AVE,07027,Garwood,2024-03-31,2024-01-10,,535000,550000,2.8,Single Family,year_built,"listing_scrape,nj_records"
260 LOCUST AVE,07027,Garwood,2024-07-07,2024-04-25,,499999,515000,3.0,Single Family,,"listing_scrape,nj_records"
167 MYRTLE AVE,07027,Garwood,2024-08-04,2024-05-02,,598900,650000,8.53,Single Family,,"listing_scrape,nj_records"
79 3rd Ave,07027,Garwood,2024-08-04,2024-05-17,,749000,685000,-8.54,Single Family,,listing_scrape
204 Chestnut Ct,07027,Garwood,2025-04-08,2025-01-15,,750000,828500,10.47,Condo,,listing_scrape
566 RIDGEWOOD AVENUE,07028,Glen Ridge,2024-03-13,2023-12-05,,1100000,1425000,29.55,Single Family,,"listing_scrape,nj_records"
332 RIDGEWOOD AVENUE,07028,Glen Ridge,2024-03-13,2023-12-08,,1399000,1725000,23.3,Single Family,,"listing_scrape,nj_records"
590 RIDGEWOOD AVENUE,07028,Glen Ridge,2024-03-13,2023-12-14,,899000,1125000,25.14,Single Family,,"listing_scrape,nj_records"
150 Linden Ave,07028,Glen Ridge,2024-03-13,2023-12-15,,789000,973000,23.32,Single Family,,listing_scrape
25 HILLCREST ROAD,07028,Glen Ridge,2024-03-31,2024-01-18,,2999000,3000000,0.03,Single Family,,"listing_scrape,nj_records"
202 STONEHOUSE ROAD,07028,Glen Ridge,2024-08-04,2024-05-01,,849000,1452000,71.02,Single Family,,"listing_scrape,nj_records"
30 APPLETON PLACE,07028,Glen Ridge,2024-08-04,2024-05-10,,1295000,1630000,25.87,Single Family,year_built,"listing_scrape,nj_records"
18 SUMMIT STREET,07028,Glen Ridge,2024-08-04,2024-05-13,,1850000,2525000,36.49,Single Family,year_built,"listing_scrape,nj_records"
926 Bloomfield Ave Apt 8D,07028,Glen Ridge,2024-08-04,2024-05-15,,180000,185000,2.78,Condo,,listing_scrape
27 OAKWOOD AVENUE,07028,Glen Ridge,2024-08-04,2024-05-17,,879000,1260000,43.34,Single Family,,"listing_scrape,nj_records"
321 FOREST AVENUE,07028,Glen Ridge,2024-08-04,2024-05-24,,1075000,1465000,36.28,Single Family,,"listing_scrape,nj_records"
316 Washington St,07028,Glen Ridge,2024-08-04,2024-06-03,,1899000,2316000,21.96,Single Family,,listing_scrape
166 SHERMAN AVENUE,07028,Glen Ridge,2024-09-11,2024-06-20,,1299000,1250000,-3.77,Single Family,,"listing_scrape,nj_records"
40 Stanford Pl,07028,Glen Ridge,2025-08-29,2025-06-09,,1149000,1410000,22.72,Single Family,,listing_scrape
132 Linden Ave,07028,Glen Ridge,2025-10-06,2025-07-15,,699000,999999,43.06,Single Family,,listing_scrape
12 Winsor Pl,07028,Glen Ridge,2025-10-25,2025-07-28,,1470000,1527000,3.88,Single Family,,listing_scrape
24 Fordham Rd,07039,Livingston,2023-07-11,2023-07-05,,2300000,2190000,-4.78,Single Family,,listing_scrape
25 SHADOWLAWN DR,07039,Livingston,2023-07-14,2023-07-12,,1075000,1075000,0.0,Single Family,,"listing_scrape,nj_records"
4311 POINTE GATE DRIVE,07039,Livingston,2023-08-15,2023-08-09,0,589000,615000,4.41,Condo,,"listing_scrape,nj_records"
69 CORNELL DRIVE,07039,Livingston,2023-08-15,2023-08-11,,1800000,1900000,5.56,Single Family,lot_sqft,"listing_scrape,nj_records"
3304 POINTE GATE DRIVE,07039,Livingston,2025-07-23,2023-08-17,,415000,450000,8.43,Condo,,"listing_scrape,nj_records"
35 FIELDSTONE DRIVE,07039,Livingston,2023-08-31,2023-08-23,,829000,870000,4.95,Single Family,year_built,"listing_scrape,nj_records"
36 SHREWSBURY DRIVE,07039,Livingston,2025-01-31,2023-09-19,,969000,975000,0.62,Single Family,,"listing_scrape,nj_records"
77-79 Glen Ridge Ave,07039,Livingston,2024-08-30,2023-10-10,,769900,769900,0.0,Multi-Family,,listing_scrape
26 N Cedar Pkwy,07039,Livingston,2023-12-02,2023-12-01,,575000,650000,13.04,Single Family,,listing_scrape
18 Dickinson Ln,07039,Livingston,2024-08-30,2023-12-05,,1249900,1275000,2.01,Single Family,,listing_scrape
8 PRINCETON RD,07039,Livingston,2024-03-13,2023-12-12,,1695000,1675000,-1.18,Single Family,,"listing_scrape,nj_records"
1 CEDAR GATE COURT,07039,Livingston,2024-03-13,2023-12-15,,999000,911490,-8.76,Townhouse,year_built,"listing_scrape,nj_records"
913 Kensington Ln,07039,Livingston,2024-03-13,2023-12-18,,718000,700000,-2.51,Townhouse,,listing_scrape
22 EAST DR,07039,Livingston,2024-03-31,2024-01-08,,2095000,2200000,5.01,Single Family,,"listing_scrape,nj_records"
271 N Livingston Ave,07039,Livingston,2024-03-31,2024-01-12,,640000,640000,0.0,Single Family,,listing_scrape
32 Coddington Ter,07039,Livingston,2024-03-31,2024-01-25,,849000,861500,1.47,Single Family,,listing_scrape
12 N ASHBY AVENUE,07039,Livingston,2024-05-01,2024-02-16,,580000,580000,0.0,Single Family,,"listing_scrape,nj_records"
15 Shrewsbury Dr,07039,Livingston,2024-05-01,2024-02-26,,700000,700000,0.0,Single Family,,listing_scrape
1 Princeton Rd,07039,Livingston,2024-04-02,2024-04-01,,1400000,1395000,-0.36,Single Family,,listing_scrape
22 NOTCH HILL DR,07039,Livingston,2024-04-11,2024-04-09,,1200000,1461000,21.75,Single Family,,"listing_scrape,nj_records"
52 HAVENWOOD DRIVE,07039,Livingston,2024-04-25,2024-04-12,,1250000,1250000,0.0,Single Family,,"listing_scrape,nj_records"
16 CEDAR GATE DRIVE,07039,Livingston,2024-06-12,2024-05-01,,975000,975000,0.0,Condo,sold_date,"listing_scrape,nj_records"
3309 Pointe Gate Dr Unit 9,07039,Livingston,2024-08-04,2024-05-01,,639000,639000,0.0,Condo,,"listing_scrape,nj_records"
2 CORNERSTONE WAY,07039,Livingston,2024-08-04,2024-05-02,,1675000,1700000,1.49,Single Family,,"listing_scrape,nj_records"
35 LAUREL AVE,07039,Livingston,2024-08-04,2024-05-02,,569900,670000,17.56,Single Family,year_built,"listing_scrape,nj_records"
212 EDMONTON COURT,07039,Livingston,2024-08-04,2024-05-07,,699900,800000,14.3,Condo,,"listing_scrape,nj_records"
10 Windsor Dr,07039,Livingston,2024-08-04,2024-05-10,,974900,1150000,17.96,Single Family,,listing_scrape
13 Highland Dr,07039,Livingston,2024-08-04,2024-05-10,,750000,825000,10.0,Single Family,,listing_scrape
25 Ridgewood Dr,07039,Livingston,2024-08-04,2024-05-13,,1300000,1265000,-2.69,Single Family,,listing_scrape
2 TULIP CT,07039,Livingston,2024-08-04,2024-05-14,,725000,955000,31.72,Single Family,year_built,"listing_scrape,nj_records"
36 RAINBOW RIDGE DRIVE,07039,Livingston,2024-08-04,2024-05-15,,1750000,1825000,4.29,Single Family,,"listing_scrape,nj_records"
1 TABOR COURT,07039,Livingston,2024-08-04,2024-05-20,,1000000,1220000,22.0,Single Family,,"listing_scrape,nj_records"
41 HERON ROAD,07039,Livingston,2024-08-04,2024-05-20,,1250000,1460000,16.8,Single Family,year_built,"listing_scrape,nj_records"
4109 Pointe Gate Dr Unit 4109,07039,Livingston,2024-08-30,2024-05-20,,599000,550000,-8.18,Condo,,"listing_scrape,nj_records"
103 REGAL BLVD,07039,Livingston,2024-08-04,2024-05-21,,649000,684500,5.47,Condo,,"listing_scrape,nj_records"
12 OXFORD DR,07039,Livingston,2024-08-04,2024-05-22,,950000,1180000,24.21,Single Family,,"listing_scrape,nj_records"
