address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_abs,sold_vs_ask_pct,price_changes,sqft,beds,baths,lot_sqft,year_built,garage,solar,ac_type,property_type,county,municipality,prop_class,nu_code,conflicts,_sources,_fetched
105 MARC BLVD,07005,Boonton,,2023-07-01,,,640000,,,,,,,12502,1967,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
247 ROOSEVELT AVE,07005,Boonton,,2023-07-11,,,501000,,,,,,,5998,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
701 WILLIAM ST,07005,Boonton,,2023-07-11,,,550000,,,,1948,,,72702,2005,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
227 MYRTLE AVE,07005,Boonton,,2023-07-12,,,285000,,,,,,,5001,1962,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
419 OAK ST,07005,Boonton,,2023-07-12,,,600000,,,,,,,12502,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
305 RESERVE ST,07005,Boonton,,2023-07-13,,,725000,,,,,,,41469,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
1019 BIRCH ST,07005,Boonton,,2023-07-19,,,640000,,,,,,,11800,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
717 OAK ST,07005,Boonton,,2023-07-19,,,600000,,,,,,,18726,1972,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
40 BIRCHWOOD LN,07005,Boonton,,2023-07-20,,,795000,,,,,,,26572,1978,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
68 OLD DENVILLE RD,07005,Boonton,,2023-07-23,,,799000,,,,,,,76666,1949,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
609 CHURCH ST,07005,Boonton,,2023-07-24,,,575000,,,,,,,6251,1990,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
411 MONROE ST,07005,Boonton,,2023-07-25,,,535000,,,,,,,7000,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
302 CORNELIA ST,07005,Boonton,,2023-07-31,,,719500,,,,,,,13299,1847,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
52 LORRAINE TER,07005,Boonton,,2023-08-01,,,625000,,,,,,,7667,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
