town,appr_pct,appr_annual_pct,zillow_annual_pct,fhfa_annual_pct,n_sources,spread_pts,window_years,asof
Basking Ridge,23.4,7.3,7.2,7.3,2,0.1,3,2026-06-30
Bedminster,30.2,9.2,7.3,11.1,2,3.9,3,2026-06-30
Berkeley Heights,23.4,7.3,6.4,8.1,2,1.7,3,2026-06-30
Bernardsville,23.4,7.3,6.5,8.0,2,1.6,3,2026-06-30
Boonton,22.3,6.9,5.2,8.7,2,3.4,3,2026-06-30
Branchburg,22.4,7.0,4.7,9.2,2,4.6,3,2026-06-30
Bridgewater,21.5,6.7,4.7,8.7,2,3.9,3,2026-06-30
Caldwell,23.6,7.3,5.9,8.8,2,2.9,3,2026-06-30
Cedar Grove,20.0,6.3,5.5,7.1,2,1.6,3,2026-06-30
Cedar Knolls,23.6,7.3,5.6,9.1,2,3.4,3,2026-06-30
Chatham,27.3,8.4,8.3,8.5,2,0.2,3,2026-06-30
Chester,22.0,6.8,5.9,7.8,2,1.9,3,2026-06-30
Clark,22.5,7.0,5.8,8.2,2,2.5,3,2026-06-30
Colonia,25.0,7.7,6.3,9.2,2,2.9,3,2026-06-30
Cranford,23.8,7.4,5.6,9.2,2,3.6,3,2026-06-30
Denville,22.0,6.9,5.5,8.2,2,2.6,3,2026-06-30
East Hanover,20.9,6.5,6.1,6.9,2,0.8,3,2026-06-30
Edison,26.6,8.2,6.7,9.7,2,3.0,3,2026-06-30
Elmwood Park,22.0,6.9,4.7,9.0,2,4.2,3,2026-06-30
Essex Fells,27.5,8.4,8.4,,1,0,3,2026-06-30
Fairfield,21.1,6.6,5.5,7.6,2,2.1,3,2026-06-30
Fanwood,27.3,8.4,7.3,9.5,2,2.2,3,2026-06-30
Florham Park,29.7,9.1,8.5,9.6,2,1.2,3,2026-06-30
Franklin Lakes,27.7,8.5,8.5,8.4,2,0.1,3,2026-06-30
Garwood,18.9,5.9,5.8,6.0,2,0.2,3,2026-06-30
Gillette,23.4,7.3,5.6,8.9,2,3.3,3,2026-06-30
Glen Ridge,24.7,7.6,6.1,9.2,2,3.1,3,2026-06-30
Glen Rock,29.3,9.0,8.6,9.3,2,0.6,3,2026-06-30
Green Brook,19.8,6.2,4.8,7.6,2,2.8,3,2026-06-30
Haledon,25.8,8.0,6.7,9.2,2,2.4,3,2026-06-30
Hanover Township,19.2,6.0,5.7,6.3,2,0.6,3,2026-06-30
Livingston,31.3,9.5,8.2,10.9,2,2.7,3,2026-06-30
Long Valley,19.5,6.1,5.3,6.9,2,1.5,3,2026-06-30
Madison,25.8,8.0,6.7,9.3,2,2.6,3,2026-06-30
Maplewood,25.5,7.9,7.2,8.5,2,1.3,3,2026-06-30
Martinsville,21.8,6.8,5.3,8.3,2,2.9,3,2026-06-30
Mendham,25.8,8.0,7.1,8.9,2,1.8,3,2026-06-30
Mendham Township,25.8,8.0,7.1,8.9,2,1.8,3,2026-06-30
Metuchen,30.1,9.2,7.3,11.0,2,3.8,3,2026-06-30
Millburn,34.1,10.3,9.1,11.4,2,2.3,3,2026-06-30
Millington,25.5,7.9,6.0,9.7,2,3.6,3,2026-06-30
Montclair,27.6,8.5,7.5,9.5,2,2.0,3,2026-06-30
Montville,16.6,5.2,4.9,5.6,2,0.6,3,2026-06-30
Morris Plains,22.5,7.0,6.2,7.8,2,1.6,3,2026-06-30
Morris Township,25.4,7.8,6.2,9.4,2,3.2,3,2026-06-30
Morristown,25.4,7.8,6.2,9.4,2,3.2,3,2026-06-30
Mountain Lakes,28.6,8.8,6.9,10.6,2,3.7,3,2026-06-30
Mountainside,28.8,8.8,6.2,11.4,2,5.1,3,2026-06-30
New Providence,26.3,8.1,7.3,8.9,2,1.6,3,2026-06-30
North Caldwell,23.6,7.3,5.9,8.8,2,2.9,3,2026-06-30
North Haledon,25.8,8.0,6.7,9.2,2,2.4,3,2026-06-30
Nutley,24.2,7.5,6.2,8.8,2,2.7,3,2026-06-30
Parsippany-Troy Hills,24.0,7.4,5.8,9.1,2,3.3,3,2026-06-30
Pompton Lakes,23.1,7.2,6.4,7.9,2,1.5,3,2026-06-30
Pompton Plains,20.6,6.4,6.1,6.8,2,0.6,3,2026-06-30
Randolph,22.3,6.9,6.2,7.6,2,1.4,3,2026-06-30
Roseland,23.7,7.4,7.6,7.1,2,0.4,3,2026-06-30
Scotch Plains,26.5,8.2,8.0,8.4,2,0.4,3,2026-06-30
Short Hills,26.9,8.3,8.3,,1,0,3,2026-06-30
South Orange,28.0,8.6,7.8,9.4,2,1.6,3,2026-06-30
South Plainfield,25.6,7.9,6.5,9.3,2,2.8,3,2026-06-30
Springfield,23.3,7.2,6.4,8.1,2,1.7,3,2026-06-30
Stirling,23.5,7.3,6.0,8.6,2,2.5,3,2026-06-30
Summit,23.3,7.2,8.2,6.3,2,1.9,3,2026-06-30
Totowa,21.2,6.6,5.8,7.4,2,1.6,3,2026-06-30
Towaco,12.7,4.1,4.4,3.7,2,0.8,3,2026-06-30
Verona,28.7,8.8,7.7,9.8,2,2.1,3,2026-06-30
Warren,26.7,8.2,7.4,9.1,2,1.7,3,2026-06-30
Watchung,23.1,7.2,5.9,8.5,2,2.6,3,2026-06-30
Wayne,22.8,7.1,6.2,7.9,2,1.7,3,2026-06-30
West Caldwell,23.6,7.3,5.9,8.8,2,2.9,3,2026-06-30
West Orange,27.3,8.4,8.2,8.6,2,0.4,3,2026-06-30
Westfield,24.9,7.7,7.5,7.9,2,0.4,3,2026-06-30
Woodbridge,27.2,8.4,7.6,9.1,2,1.4,3,2026-06-30
Woodland Park,20.9,6.5,4.9,8.2,2,3.3,3,2026-06-30
