"town_order","town","zip_order_within_town","zip_code","dist_mi","elementary_rating_1_to_10","elementary_composite_proficiency_pct","elementary_valid_test_scores","elementary_districts","middle_rating_1_to_10","middle_composite_proficiency_pct","middle_valid_test_scores","middle_districts","high_school_rating_1_to_10","high_school_composite_proficiency_pct","high_school_valid_test_scores","high_school_districts","rating_scope","assignment_note","school_year","rating_method","source_url"
"1","Westfield","1","07090","0","10","79.0","2834","Westfield Public School District","9","71.6","2564","Westfield Public School District","9","77.9","880","Westfield Public School District","Town/district-level proxy attached to the supplied ZIP label","Computed 2026-07-17 from the DOE source, not inherited. The anchor town had NO row until now — the original file shipped 57 of 57 zips with 07090 absent, so every school comparison ran against a hole where the baseline should be. District-level proxy based on the supplied town label; verify the exact attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"2","Cranford","1","07016","2","9","70.8","1784","Cranford Public School District","9","73.6","1623","Cranford Public School District","8","73.4","549","Cranford Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"3","Garwood","1","07027","2","6","52.4","269","Garwood Boro","7","61.0","233","Garwood Boro","6","65.7","379","Clark Township Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"4","Fanwood","1","07023","3","9","68.8","2648","Scotch Plains-Fanwood School District","9","69.6","2210","Scotch Plains-Fanwood School District","8","71.7","754","Scotch Plains-Fanwood School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"5","Scotch Plains","1","07076","3","9","68.8","2648","Scotch Plains-Fanwood School District","9","69.6","2210","Scotch Plains-Fanwood School District","8","71.7","754","Scotch Plains-Fanwood School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"6","Mountainside","1","07092","3","10","80.9","492","Mountainside School District","10","82.9","386","Mountainside School District","10","80.9","409","Berkeley Heights School District","Town/district-level proxy attached to the supplied ZIP label","Computed 2026-07-17. K-8 is Mountainside's own district; there is NO Mountainside high school — grades 9-12 go to Governor Livingston in the Berkeley Heights district under a send-receive. The DOE data proves it rather than assumes it: Mountainside School District reports zero grade-9/NJGPA tests, and this HS rating (10/80.9%/409) is identical to Berkeley Heights' existing row. District-level proxy based on the supplied town label; verify the exact attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"7","Clark","1","07066","4","8","64.9","961","Clark Township Public School District","7","60.5","992","Clark Township Public School District","6","65.7","379","Clark Township Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"8","Springfield","1","07081","5","8","62.6","940","Springfield Public School District","7","58.4","827","Springfield Public School District","8","72.4","499","Springfield Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"9","Watchung","1","07069","5","8","67.7","439","Watchung Borough School District","8","66.9","365","Watchung Borough School District","8","73.5","811","Watchung Hills Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"10","Colonia","1","07067","6","5","44.8","5946","Woodbridge Township School District","3","35.6","6040","Woodbridge Township School District","4","54.8","2769","Woodbridge Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"11","Summit","1","07901","6","10","83.5","1890","Summit Public School District","9","74.3","1577","Summit Public School District","9","77.4","595","Summit Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"12","Berkeley Heights","1","07922","7","9","70.1","939","Berkeley Heights School District","9","74.8","828","Berkeley Heights School District","10","80.9","409","Berkeley Heights School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"13","New Providence","1","07974","7","10","83.6","1046","New Providence School District","10","83.1","1054","New Providence School District","9","75.3","182","New Providence School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"14","Millburn","1","07041","7","10","87.2","2283","Millburn Township School District","10","84.1","1937","Millburn Township School District","10","82.9","315","Millburn Township School District","INHERITED from Short Hills — same school district","Millburn proper is the other half of MILLBURN TWP; Short Hills' rating already IS Millburn Township School District. Rating copied from Short Hills because it is the SAME DISTRICT, not an independent measurement of Millburn. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"15","Short Hills","1","07078","8","10","87.2","2283","Millburn Township School District","10","84.1","1937","Millburn Township School District","10","82.9","315","Millburn Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"16","South Plainfield","1","07080","8","5","48.8","1620","South Plainfield School District","4","43.7","1592","South Plainfield School District","7","67.6","758","South Plainfield School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"17","Warren","1","07059","8","9","71.8","1110","Warren Township School District","8","65.1","1001","Warren Township School District","8","73.5","811","Watchung Hills Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"18","Edison","1","08820","9","8","65.8","7306","Edison Township School District","7","58.9","6645","Edison Township School District","9","74.9","3699","Edison Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"18","Edison","2","08817","9","8","65.8","7306","Edison Township School District","7","58.9","6645","Edison Township School District","9","74.9","3699","Edison Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"18","Edison","3","08837","9","8","65.8","7306","Edison Township School District","7","58.9","6645","Edison Township School District","9","74.9","3699","Edison Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"19","Green Brook","1","08812","9","7","58.2","426","Green Brook Township Public School District","7","56.0","427","Green Brook Township Public School District","8","73.5","811","Watchung Hills Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"20","Metuchen","1","08840","9","9","73.6","1089","Metuchen Public School District","9","74.3","1006","Metuchen Public School District","10","85.1","354","Metuchen Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"21","Woodbridge","1","07095","10","5","44.8","5946","Woodbridge Township School District","3","35.6","6040","Woodbridge Township School District","4","54.8","2769","Woodbridge Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"22","Gillette","1","07933","10","8","62.7","560","Long Hill Township School District","8","65.5","537","Long Hill Township School District","8","73.5","811","Watchung Hills Regional High School District","INHERITED from Long Hill — same school district","Gillette IS Long Hill Twp. Same K-8 district. Rating copied from Long Hill because it is the SAME DISTRICT, not an independent measurement of Gillette. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"23","Stirling","1","07980","10","8","62.7","560","Long Hill Township School District","8","65.5","537","Long Hill Township School District","8","73.5","811","Watchung Hills Regional High School District","INHERITED from Long Hill — same school district","Stirling IS Long Hill Twp — zips.json: 'Long Hill Twp IS Stirling + Gillette + Millington'. Same K-8 district. Rating copied from Long Hill because it is the SAME DISTRICT, not an independent measurement of Stirling. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"24","Maplewood","1","07040","11","8","67.7","3140","South Orange-Maplewood School District","7","59.4","2411","South Orange-Maplewood School District","9","78.1","1433","South Orange-Maplewood School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"25","South Orange","1","07079","11","8","67.7","3140","South Orange-Maplewood School District","7","59.4","2411","South Orange-Maplewood School District","9","78.1","1433","South Orange-Maplewood School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"26","Millington","1","07946","11","8","62.7","560","Long Hill Township School District","8","65.5","537","Long Hill Township School District","8","73.5","811","Watchung Hills Regional High School District","INHERITED from Long Hill — same school district","Millington IS Long Hill Twp. Same K-8 district. Rating copied from Long Hill because it is the SAME DISTRICT, not an independent measurement of Millington. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"27","Livingston","1","07039","12","10","82.5","2978","Livingston Board Of Education School District","10","80.0","2686","Livingston Board Of Education School District","10","83.7","1022","Livingston Board Of Education School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"28","Bridgewater","1","08807","13","8","64.3","3429","Bridgewater-Raritan Regional School District","7","61.6","3189","Bridgewater-Raritan Regional School District","10","79.7","1937","Bridgewater-Raritan Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"29","Martinsville","1","08836","13","8","64.3","3429","Bridgewater-Raritan Regional School District","7","61.6","3189","Bridgewater-Raritan Regional School District","10","79.7","1937","Bridgewater-Raritan Regional School District","INHERITED from Bridgewater — same school district","Martinsville is a section of BRIDGEWATER TWP; same Bridgewater-Raritan Regional district. Rating copied from Bridgewater because it is the SAME DISTRICT, not an independent measurement of Martinsville. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"30","West Orange","1","07052","13","7","61.9","2815","West Orange Public Schools","6","52.4","2686","West Orange Public Schools","6","65.6","1478","West Orange Public Schools","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"31","Basking Ridge","1","07920","14","10","83.2","1960","Bernards Township School District","10","81.3","1852","Bernards Township School District","8","72.0","343","Bernards Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"32","Glen Ridge","1","07028","14","10","80.4","833","Glen Ridge Public School District","10","84.3","731","Glen Ridge Public School District","9","79.1","263","Glen Ridge Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"33","Verona","1","07044","14","8","66.0","1009","Verona Public School District","8","67.3","951","Verona Public School District","8","72.7","293","Verona Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"34","East Hanover","1","07936","15","8","64.0","664","East Hanover Township School District","10","78.4","591","East Hanover Township School District","9","75.0","648","Hanover Park Regional High School District","Town/district-level proxy attached to the supplied ZIP label","Computed 2026-07-17. K-8 is East Hanover's own district; grades 9-12 go to Hanover Park Regional, which it shares with Florham Park. Same proof: East Hanover Township reports zero HS tests, and this HS rating (9/75.0%/648) matches Florham Park's existing row exactly. District-level proxy based on the supplied town label; verify the exact attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"35","Essex Fells","1","07021","15","10","83.8","204","Essex Fells School District","8","64.0","982","West Essex Regional School District","9","74.6","529","West Essex Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
