property_key,address,zip,town,spell,mls_id,list_date,first_seen,last_seen,first_list_price,last_list_price,observations,status,gone_on,price_changed,beds,baths,sqft,lot_sqft,year_built,property_type,lat,lon,url,photo,mls_status,days_on_mls,text
1011|washingtonvalley|07920,1011 Washington Valley Rd,07920,Basking Ridge,1,4034915,2026-06-16,2026-07-13,2026-07-17,650000,650000,4,active,,,3,1.5,1288,20038,1958,Single Family,40.643377,-74.622786,https://www.realtor.com/realestateandhomes-detail/1011-Washington-Valley-Rd_Basking-Ridge_NJ_07920_M62898-19612,https://ap.rdcpix.com/5675f3c4267dceaeeef06299f87b7a8el-m3305445069od-w480_h360_x2.webp?w=1080&q=75,PENDING,30,"Turn-key ranch-style living in highly desirable Bridgewater, with optional membership to the Sunset Lake community! This beautifully updated 3-bedroom, 1.5-bath home offers the convenience of one-floor living and is truly move-in ready. Step inside to a bright and inviting living room featuring gleaming hardwood floors, custom millwork, a gas fireplace, and large windows that fill the space with natural light. The floor plan flows seamlessly into the dining area and updated kitchen, complete with SS appliances, abundant cabinetry, and generous counter space. Just off the kitchen, enjoy year-round entertaining in the newly renovated enclosed porch, or step outside to the spacious patio overlooking a private backyard featuring a retaining wall, fire pit area, and newly planted trees. The three bedrooms offer flexibility for a home office, guest room, or playroom. The finished LL expands th"
103|emeraldvalley|07920,103 Emerald Valley Ln,07920,Basking Ridge,1,4007903,2026-02-03,2026-07-13,2026-07-17,2774900,2774900,4,active,,,5,6.0,,96268,2005,Single Family,40.638149,-74.579939,https://www.realtor.com/realestateandhomes-detail/103-Emerald-Valley-Ln_Basking-Ridge_NJ_07920_M54178-27342,https://ap.rdcpix.com/0d80190625c196ec0a3174e3a41ff4ebl-m2216621432od-w480_h360_x2.webp?w=1080&q=75,PENDING,164,"Set against a backdrop of rolling countryside and mature landscaping, this exceptional property offers the rare combination of privacy, space, and refined country living. Thoughtfully sited and designed, it provides a true sense of retreat while remaining within convenient reach of everyday amenities and major routes that the community of Basking Ridge is known for.The residence features warm, inviting living spaces with a natural flow for both daily living and entertaining. Abundant natural light, well-proportioned rooms, and quality finishes create an atmosphere that feels comfortable yet elevated. The layout supports both quiet moments at home and effortless gathering spaces."
10|cedar|07920,10 Cedar St,07920,Basking Ridge,1,4034920,2026-06-16,2026-07-13,2026-07-17,1249000,1249000,4,active,,,3,3.5,,13068,1932,Single Family,40.700806,-74.548828,https://www.realtor.com/realestateandhomes-detail/10-Cedar-St_Basking-Ridge_NJ_07920_M64954-11445,https://ap.rdcpix.com/59b5cfadd6d4cab708fb57192eab1b82l-m150159132od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,30,"Historic Character. Modern Comfort. Walk-to-Town Convenience. Lovingly updated and modernized, this distinctive 1932 Tudor beautifully preserves the character and craftsmanship that make homes of this era so special while offering the comforts today's buyers desire. Rich woodwork, arched doorways, hardwood floors, exposed beams, and striking stone fireplaces showcase the home's timeless appeal. The updated kitchen features custom cabinetry, premium appliances, a large center island, and an adjoining dining area perfect for everyday living and entertaining. Light-filled living spaces open to a private patio and beautifully landscaped yard, while the primary suite offers a peaceful retreat with its own private balcony.Ideally located just moments from Oak Street Elementary, downtown Basking Ridge, parks, shopping, dining, and transportation, this is a rare opportunity to own a beautifully "
10|plymouth|07920,10 Plymouth Ct,07920,Basking Ridge,1,4027044,2026-05-12,2026-07-13,2026-07-13,792000,792000,1,gone,2026-07-16,,,,,,,,,,,,,,
10|raleigh|07920,10 Raleigh Ct,07920,Basking Ridge,1,4033382,2026-06-10,2026-07-13,2026-07-17,849900,849900,4,active,,,3,2.5,,,1998,Condo,40.65266,-74.618678,https://www.realtor.com/realestateandhomes-detail/10-Raleigh-Ct_Basking-Ridge_NJ_07920_M66477-41503,https://ap.rdcpix.com/6d8587a66ecd1f0830e31809331d9f88l-m2618087402od-w480_h360_x2.webp?w=1080&q=75,PENDING,37,"This extensively updated, east-facing end-unit townhome in Hamilton Crest at The Hills, Basking Ridge sits on a cul-de-sac just three blocks from The Hills Shopping Center three bedrooms, two and a half baths, a basement media room, and a soaring two-story family room with fireplace. Morning light pours through three exposures of windows into a home where the kitchen, baths, flooring, patio, furnace, and water heater have all been refreshed or replaced. Hardwood floors sweep through the entire first floor, primary suite, and a second bedroom. The kitchen was fully updated in 2020 with newer appliances and white cabinetry. Bathroom countertops were replaced, and custom blinds and shutters add a polished finish throughout. Newer furnace and water heater provide peace of mind. The basement media room comes pre-wired with projector and screen included plus flexible space for a game room, rec"
1101|washingtonvalley|07920,1101 Washington Valley Rd,07920,Basking Ridge,1,4017428,2026-03-30,2026-07-13,2026-07-17,499000,499000,4,active,,,3,2.0,,20909,1760,Single Family,40.64172,-74.615832,https://www.realtor.com/realestateandhomes-detail/1101-Washington-Valley-Rd_Basking-Ridge_NJ_07920_M69488-27574,https://ap.rdcpix.com/6b0e3c922456abc392c145711aa925c9l-m67885252od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,108,"Welcome to 1101 Washington Valley Road, a rare opportunity to own a truly special antique home in the heart of Bridgewater. Full of warmth, character, and timeless charm, this 3 bedroom, 2 bath home offers a living experience you simply can't recreate. From its inviting presence to its unique interior details, every inch of this home reflects a rich sense of history blended with everyday comfort. Inside, you'll find cozy yet functional living spaces perfect for both relaxing and entertaining. Each room carries its own personality, creating a home that feels distinctive and full of life. The three bedrooms provide flexibility for guests, a home office, or personal retreat, while two full baths add convenience. Set on a beautiful property, the outdoor space offers endless potential whether you envision quiet mornings, weekend gatherings, or enhancing the landscape to suit your style. Locat"
112|victoria|07920,112 Victoria Dr,07920,Basking Ridge,1,4039513,2026-07-09,2026-07-13,2026-07-17,1495000,1495000,4,active,,,5,2.5,3142,76230,1970,Single Family,40.676562,-74.582906,https://www.realtor.com/realestateandhomes-detail/112-Victoria-Dr_Basking-Ridge_NJ_07920_M53702-16172,https://ap.rdcpix.com/d6e4de24d95486c27ec9be3ce9919cebl-m1836304180od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,7,"Desirable neighborhood with a private oversized lot. Many updates including Pool, media room, wine cellar with a updated custom kitchen,whole house generator outdoor sauna"
115|constitution|07920,115 Constitution Way,07920,Basking Ridge,1,4040021,2026-07-11,2026-07-13,2026-07-17,829900,829900,4,active,,,3,2.5,1928,,1997,Condo,40.653648,-74.613067,https://www.realtor.com/realestateandhomes-detail/115-Constitution-Way_Basking-Ridge_NJ_07920_M58245-99810,https://ap.rdcpix.com/f2c0dcfb647b68c283bf214ea7afa091l-m2340494257od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,6,"Discover this beautifully updated home nestled in a peaceful wooded setting within one of Basking Ridge's most admired neighborhoods. Offering an open-concept layout, this 3-bedroom, 2.5-bath home perfectly blends everyday convenience with excellent entertaining spaces. The heart of the home is the stunning eat-in kitchen, featuring a breakfast bar, granite countertops, porcelain tile flooring, and stainless steel appliances. The kitchen seamlessly flows into both the formal dining room and an impressive great room, which is highlighted by a grand fireplace and a wall of windows that floods the space with natural light. Sliding doors lead out to a spacious 23' x 12' Trex deck, offering a tranquil retreat overlooking private woodlands. A welcoming living room and a powder room with garage access complete the main level. Upstairs, the luxurious primary suite boasts two walk-in closets and "
118|patriothill|07920,118 Patriot Hill Dr,07920,Basking Ridge,1,4034274,2026-06-13,2026-07-13,2026-07-17,959000,959000,4,active,,,3,2.5,,6098,1999,Townhouse,40.650298,-74.612008,https://www.realtor.com/realestateandhomes-detail/118-Patriot-Hill-Dr_Basking-Ridge_NJ_07920_M58177-05610,https://ap.rdcpix.com/9ef581719333366310e479e727cacf67l-m582548394od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,34,"Well-maintained & updated 3-BR End-Unit & 2-car Garage - with a North-facing entrance - in The Patriot Hill Community of Basking Ridge, with a range of upgrades & renovations; hardwood floors throughout the main level, updated Kitchen with granite counters, backsplash, SS appliances & a state-of-art water purifier under the sink. The powder room has been totally renovated. The master bedroom features a sitting area, an expanded walk-in closet and a totally renovated master bath. All 3 bedrooms feature California closets. The finished walk-out basement opens to a private, fenced-in patio & features an entertainment center, exercise room and ample storage area. The HVAC, water heater as well as the water purification system (in the basement) are less than 8 years old. The HILLS amenities include 2 outdoor pools, clubhouse, exercise room, playgrounds & tennis courts. Basking Ridge has one o"
11|cedar|07920,11 Cedar St,07920,Basking Ridge,1,4023058,2026-04-24,2026-07-13,2026-07-17,1399999,1399999,4,active,,,4,3.5,,27878,1954,Single Family,40.701354,-74.549062,https://www.realtor.com/realestateandhomes-detail/11-Cedar-St_Basking-Ridge_NJ_07920_M65846-27334,https://ap.rdcpix.com/c4b9d3e287d652f9a3891b75b775265el-m1950639232od-w480_h360_x2.webp?w=1080&q=75,PENDING,83,"Beautifully fully renovated home set on a manicured, level lot with exceptional indoor-outdoor living, moments from downtown Basking Ridge and Oak St School. This home offers both comfort and convenience in a sought after neighborhood. The open-concept main level features a stunning kitchen with oversized center island, high-end appliances, quartz counter tops, custom cabinetry and seamless flow into the dining area with sliding doors to an exceptional patio-perfect for everyday living and entertaining. A sun-filled living room with expansive windows fills the space with natural light, creating a warm and inviting setting. The main level also offers three bedrooms, including an en-suite, plus an additional full bath. Upstairs, a beautiful primary suite features two walk-in closets and a stunning bath with soaking tub and separate shower. A spectacular office space completes the upper lev"
11|hampton|07920,11 Hampton Ct,07920,Basking Ridge,1,4034089,2026-06-12,2026-07-13,2026-07-17,780000,780000,4,active,,,3,2.5,1735,8712,1987,Condo,40.661269,-74.548701,https://www.realtor.com/realestateandhomes-detail/11-Hampton-Ct_Basking-Ridge_NJ_07920_M63512-93896,https://ap.rdcpix.com/25f659a55875106a1479ba5d47471ea0l-m2541526427od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,34,"Welcome to Spring Ridge, one of Basking Ridge's most desirable communities. This well-maintained and updated 3-bedroom, 2.1-bath half duplex offers spacious living with soaring ceilings, newer skylights, hardwood and tile flooring, a fireplace, formal dining room, eat-in kitchen with stainless steel appliances, and a flexible den/family room. The finished basement provides additional space for recreation, work, or exercise. Recent improvements include a new roof and skylights (2023), driveway (2023), storm door (2023), hot water heater (2025), washer and dryer (2025), remodeled powder room, renovated hall full bath, updated flooring, stainless steel appliances, updated lighting, and additional improvements. Enjoy a private backyard, expansive deck, attached garage, and access to Spring Ridge amenities including a clubhouse, pool, tennis courts, playground, and walking paths. Conveniently"
