"town_order","town","zip_order_within_town","zip_code","dist_mi","median_household_income_usd","median_household_income_margin_of_error_usd","shared_zip_in_input","note","acs_period","income_year_basis","metric","census_table","census_variable","source_url"
"1","Cranford","1","07016","2","155972","15105","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"2","Garwood","1","07027","2","110670","25596","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"3","Fanwood","1","07023","3","195529","40950","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"4","Scotch Plains","1","07076","3","183655","18502","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"5","Clark","1","07066","4","133504","14653","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"6","Springfield","1","07081","5","155906","25045","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"7","Watchung","1","07069","5","171705","14390","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"8","Colonia","1","07067","6","122713","21938","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"9","Summit","1","07901","6","179701","21982","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"10","Berkeley Heights","1","07922","7","202944","46438","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
