town,dist_mi_from_westfield,sales,sales_with_list_price,median_sold_price,median_list_price,median_sold_vs_ask_pct,mean_sold_vs_ask_pct,median_dom,pct_at_or_under_ask,outliers_excluded_from_mean
Westfield,0,1347,895,1200000,1150000,5.43,7.32,60,26.6,1
Cranford,2,886,486,741500,729000,5.02,6.14,56,23.9,0
Garwood,2,194,112,670000,649950,3.71,4.15,61,27.7,0
Fanwood,3,296,212,754500,725000,6.01,6.6,60,21.2,0
Mountainside,3,309,195,945000,919000,3.87,5.7,64,32.8,0
Scotch Plains,3,907,580,825000,807500,5.05,6.8,62,26.6,1
Clark,4,517,263,660000,680000,3.09,3.07,62,28.9,0
Springfield,5,674,375,627500,629000,4.01,4.88,63,25.9,1
Watchung,5,242,165,950000,985000,0.0,1.8,76,52.7,0
Colonia,6,646,456,610000,599000,2.78,3.88,72,29.4,0
Summit,6,941,643,1305000,1275000,7.64,8.91,61,26.4,1
Berkeley Heights,7,537,360,825000,799000,6.23,7.11,57,23.3,1
Millburn,7,326,207,1229000,1188000,6.3,7.66,60,29.5,1
New Providence,7,484,334,900000,862000,8.32,8.98,55,20.7,0
Short Hills,8,602,435,2229000,2188000,3.23,5.18,66,40.7,1
South Plainfield,8,803,493,540000,535000,3.02,3.85,65,27.6,2
Warren,8,782,473,959500,1175000,0.0,0.76,73,56.7,1
Edison,9,3011,1869,580000,589900,1.96,3.05,69,36.4,0
Green Brook,9,541,375,547000,531300,1.96,3.02,68,37.3,1
Metuchen,9,678,434,660000,675000,4.0,5.26,61,27.4,0
Gillette,10,146,101,645000,645000,2.24,3.65,64,39.6,0
Stirling,10,101,61,670000,625000,3.7,4.8,61,29.5,0
Woodbridge,10,801,497,425050,429000,2.69,3.78,68,31.6,1
Maplewood,11,1091,739,900000,849900,10.02,12.51,56,18.5,5
Millington,11,113,79,825000,829000,4.52,4.93,57,25.3,0
South Orange,11,721,478,999000,925000,9.18,11.43,61,17.6,2
Livingston,12,1503,703,1075000,999999,2.08,4.9,67,39.3,0
Bridgewater,13,1464,986,650000,650000,2.9,3.64,62,32.7,0
Hanover Township,13,352,169,657500,659000,4.56,6.18,53,22.5,1
Martinsville,13,171,123,790000,775000,2.65,3.36,64,35.0,0
West Orange,13,2177,1148,632147,600000,7.3,8.58,62,20.7,3
Basking Ridge,14,1244,905,810000,839000,4.01,5.08,59,26.7,0
Glen Ridge,14,358,251,1100500,849000,23.3,19.76,58,10.8,26
Parsippany-Troy Hills,14,1271,509,625000,649000,4.9,5.42,57,27.1,2
Verona,14,690,375,655000,659000,6.46,8.68,61,28.3,5
East Hanover,15,627,206,885000,795000,4.61,5.22,61,24.3,0
Essex Fells,15,95,40,1500000,1499000,-0.59,1.44,67,60.0,0
Florham Park,15,518,276,897500,925000,2.54,4.3,64,37.3,0
Montclair,15,1546,893,1130000,989000,20.0,18.0,59,13.1,96
Roseland,15,261,98,755000,755000,5.67,6.6,65,25.5,0
Caldwell,16,654,328,760000,725000,4.98,6.78,64,28.0,0
Cedar Grove,16,523,239,725000,699900,8.0,7.74,59,17.6,0
Fairfield,16,281,91,725000,709000,3.36,4.84,69,31.9,0
Mendham Township,16,123,52,1245002,1189500,0.8,1.59,70,42.3,0
North Caldwell,16,116,61,950000,995000,3.47,5.11,64,37.7,1
West Caldwell,16,123,45,700000,699000,10.19,8.77,62,17.8,0
Bedminster,17,633,404,465000,479000,3.16,3.83,54,29.2,0
Chatham,17,1026,640,1250000,1200000,5.64,7.61,63,29.4,0
Madison,17,573,374,1030000,1071500,5.01,7.28,64,29.7,1
Nutley,17,1102,521,625000,619900,4.68,5.55,66,26.9,0
Branchburg,18,862,582,579750,565000,3.08,3.78,61,31.8,1
Woodland Park,18,828,388,597750,588406,3.69,4.65,67,28.1,0
Bernardsville,19,387,263,945000,925000,1.89,2.32,64,44.5,0
Morris Township,19,407,214,776500,799000,3.94,5.71,62,28.5,0
Morristown,19,1400,888,800000,779000,3.13,4.92,65,34.6,1
Totowa,19,377,159,601000,599900,3.59,3.32,74,30.2,1
Cedar Knolls,20,98,80,628750,632000,4.37,5.0,62,25.0,0
Elmwood Park,21,447,104,580000,575000,2.71,3.38,73,38.5,0
Morris Plains,21,900,508,700000,662504,4.07,5.25,59,27.6,1
Wayne,21,2046,1187,685000,675000,4.55,5.36,66,24.1,2
Denville,22,1032,540,672500,612500,4.0,4.42,62,30.2,4
Glen Rock,22,423,165,981000,915000,9.68,10.32,60,17.0,0
Haledon,22,100,32,540000,499000,4.84,5.76,61,25.0,0
Mendham,22,415,330,995000,1072500,0.06,2.17,68,49.7,0
North Haledon,22,541,239,635000,639999,2.4,3.81,72,32.6,1
Pompton Plains,22,325,195,599000,599000,3.72,3.76,62,29.7,0
Boonton,23,598,372,670000,650000,2.67,4.33,64,31.5,1
Montville,23,670,344,755000,737000,5.04,5.13,67,27.0,0
Mountain Lakes,23,250,143,1136806,1100000,2.29,4.27,76,37.8,0
Franklin Lakes,24,367,102,1500000,1597000,0.0,1.41,92,54.9,0
Pompton Lakes,24,552,295,491000,479000,4.62,5.74,65,25.8,0
Randolph,25,992,627,760000,749900,3.76,5.05,64,29.3,1
Towaco,25,157,114,750000,714950,2.1,4.42,65,31.6,0
Chester,26,445,286,900000,927000,2.06,3.11,70,38.8,1
Long Valley,29,522,344,703358,697000,3.69,4.01,62,29.7,0
