town,season,dist_mi_from_westfield,sales,sales_with_list_price,median_sold_price,median_list_price,median_sold_vs_ask_pct,mean_sold_vs_ask_pct,median_dom,pct_at_or_under_ask,outliers_excluded_from_mean
Basking Ridge,Winter,14,199,136,630000,649950,2.21,3.78,64,33.8,0
Basking Ridge,Spring,14,233,174,746000,739000,3.6,5.82,56,24.7,0
Basking Ridge,Summer,14,522,381,893500,899000,5.65,5.78,61,21.5,0
Basking Ridge,Fall,14,290,214,850000,848500,2.92,4.05,56,33.2,0
Bedminster,Winter,17,118,77,437500,450000,1.91,2.04,55,45.5,0
Bedminster,Spring,17,132,94,480000,482500,4.54,5.27,48,26.6,0
Bedminster,Summer,17,223,143,475000,465000,3.98,4.58,56,20.3,0
Bedminster,Fall,17,160,90,462500,519900,1.85,2.69,54,32.2,0
Berkeley Heights,Winter,7,83,53,790000,839900,2.34,4.78,63,32.1,0
Berkeley Heights,Spring,7,111,77,850000,799000,8.01,8.35,52,20.8,0
Berkeley Heights,Summer,7,215,148,860250,829000,7.08,8.13,56,19.6,1
Berkeley Heights,Fall,7,128,82,765000,725000,5.19,5.62,59,26.8,0
Bernardsville,Winter,19,51,27,868000,899000,-2.97,0.09,87,59.3,0
Bernardsville,Spring,19,96,65,861700,850000,4.34,3.94,59,35.4,0
Bernardsville,Summer,19,143,99,999999,999000,3.88,3.19,64,37.4,0
Bernardsville,Fall,19,97,72,920000,925000,-0.72,0.51,66,56.9,0
Boonton,Winter,23,104,62,676000,639900,0.97,4.23,72,41.9,0
Boonton,Spring,23,134,75,682000,675000,2.07,5.39,61,29.3,0
Boonton,Summer,23,214,140,670000,654500,4.21,4.38,62,25.7,1
Boonton,Fall,23,146,95,660000,639000,2.52,3.46,74,34.7,0
Branchburg,Winter,18,171,114,542500,552500,0.12,2.38,66,45.6,0
Branchburg,Spring,18,176,121,570000,549000,3.75,4.52,60,28.1,0
Branchburg,Summer,18,307,218,609000,595000,4.01,4.68,60,23.4,1
