town,zip,dist_mi_from_westfield,hs_grad_or_higher_pct,bachelors_or_higher_pct,population_age_25_plus,acs_period
Westfield,07090,0,97.8,78.1,20606,2020-2024 ACS 5-year
Cranford,07016,2,97.2,66.2,17094,2020-2024 ACS 5-year
Garwood,07027,2,96.8,45.2,3631,2020-2024 ACS 5-year
Fanwood,07023,3,96.9,73.0,5411,2020-2024 ACS 5-year
Scotch Plains,07076,3,97.1,64.8,16617,2020-2024 ACS 5-year
Clark,07066,4,94.5,47.1,11203,2020-2024 ACS 5-year
Springfield,07081,5,95.3,65.8,12557,2020-2024 ACS 5-year
Watchung,07069,5,95.4,63.4,4941,2020-2024 ACS 5-year
Colonia,07067,6,91.6,48.7,13372,2020-2024 ACS 5-year
Summit,07901,6,95.0,71.1,16657,2020-2024 ACS 5-year
Berkeley Heights,07922,7,98.3,75.0,8930,2020-2024 ACS 5-year
New Providence,07974,7,96.8,71.6,9337,2020-2024 ACS 5-year
Short Hills,07078,8,99.0,92.7,8969,2020-2024 ACS 5-year
South Plainfield,07080,8,92.5,43.8,17557,2020-2024 ACS 5-year
Warren,07059,8,96.8,68.0,11387,2020-2024 ACS 5-year
Edison,08817,9,90.9,50.6,34493,2020-2024 ACS 5-year
Edison,08820,9,92.5,71.7,27413,2020-2024 ACS 5-year
Edison,08837,9,93.8,52.0,13975,2020-2024 ACS 5-year
Green Brook,08812,9,87.0,40.6,9809,2020-2024 ACS 5-year
Metuchen,08840,9,95.6,62.2,12476,2020-2024 ACS 5-year
Woodbridge,07095,10,91.0,36.2,14916,2020-2024 ACS 5-year
Maplewood,07040,11,95.0,72.7,16786,2020-2024 ACS 5-year
South Orange,07079,11,97.7,77.1,11163,2020-2024 ACS 5-year
Livingston,07039,12,96.4,73.5,21422,2020-2024 ACS 5-year
Bridgewater,08807,13,96.0,60.8,27604,2020-2024 ACS 5-year
Long Hill,07933,13,93.4,68.4,2384,2020-2024 ACS 5-year
Long Hill,07946,13,97.3,67.8,2130,2020-2024 ACS 5-year
Long Hill,07980,13,97.8,64.4,1717,2020-2024 ACS 5-year
West Orange,07052,13,91.0,52.6,33752,2020-2024 ACS 5-year
Basking Ridge,07920,14,96.7,74.5,19826,2020-2024 ACS 5-year
Glen Ridge,07028,14,99.8,81.3,4936,2020-2024 ACS 5-year
Verona,07044,14,98.5,70.0,10190,2020-2024 ACS 5-year
Essex Fells,07021,15,97.7,81.3,1476,2020-2024 ACS 5-year
Florham Park,07932,15,98.9,69.7,8575,2020-2024 ACS 5-year
Montclair,07042,15,96.5,68.8,19339,2020-2024 ACS 5-year
Montclair,07043,15,99.1,83.8,8611,2020-2024 ACS 5-year
Roseland,07068,15,97.2,71.8,4831,2020-2024 ACS 5-year
Caldwell,07006,16,94.9,65.2,18951,2020-2024 ACS 5-year
Cedar Grove,07009,16,95.7,60.7,9659,2020-2024 ACS 5-year
Bedminster,07921,17,97.0,63.1,6128,2020-2024 ACS 5-year
Chatham,07928,17,98.9,82.1,12691,2020-2024 ACS 5-year
Madison,07940,17,97.1,74.2,10466,2020-2024 ACS 5-year
Nutley,07110,17,94.7,52.5,21584,2020-2024 ACS 5-year
Branchburg,08876,18,95.6,57.1,17458,2020-2024 ACS 5-year
Morristown,07960,19,94.0,67.9,33790,2020-2024 ACS 5-year
Cedar Knolls,07927,20,91.1,54.9,3309,2020-2024 ACS 5-year
Morris Plains,07950,21,96.1,66.1,16282,2020-2024 ACS 5-year
Denville,07834,22,96.9,61.2,12878,2020-2024 ACS 5-year
Glen Rock,07452,22,97.2,73.1,7303,2020-2024 ACS 5-year
Mendham,07945,22,98.9,78.7,6700,2020-2024 ACS 5-year
Boonton,07005,23,96.5,57.1,10633,2020-2024 ACS 5-year
Montville,07045,23,97.1,70.1,7687,2020-2024 ACS 5-year
Franklin Lakes,07417,24,97.7,77.3,7615,2020-2024 ACS 5-year
Randolph,07869,25,94.9,68.2,17118,2020-2024 ACS 5-year
Towaco,07082,25,98.0,73.0,4120,2020-2024 ACS 5-year
Chester,07930,26,98.8,71.3,5643,2020-2024 ACS 5-year
Long Valley,07853,29,98.9,62.6,8543,2020-2024 ACS 5-year
