town,zip,dist_mi_from_westfield,median_household_income_usd,margin_of_error_usd,acs_period
Westfield,07090,0,232629,17720,2020-2024 ACS 5-year
Cranford,07016,2,155972,15105,2020-2024 ACS 5-year
Garwood,07027,2,110670,25596,2020-2024 ACS 5-year
Fanwood,07023,3,195529,40950,2020-2024 ACS 5-year
Mountainside,07092,3,211538,63184,2020-2024 ACS 5-year
Scotch Plains,07076,3,183655,18502,2020-2024 ACS 5-year
Clark,07066,4,133504,14653,2020-2024 ACS 5-year
Springfield,07081,5,155906,25045,2020-2024 ACS 5-year
Watchung,07069,5,171705,14390,2020-2024 ACS 5-year
Colonia,07067,6,122713,21938,2020-2024 ACS 5-year
Summit,07901,6,179701,21982,2020-2024 ACS 5-year
Berkeley Heights,07922,7,202944,46438,2020-2024 ACS 5-year
Millburn,07041,7,202750,15882,2020-2024 ACS 5-year
New Providence,07974,7,172894,10635,2020-2024 ACS 5-year
Short Hills,07078,8,250001,,2020-2024 ACS 5-year
South Plainfield,07080,8,130205,8140,2020-2024 ACS 5-year
Warren,07059,8,212479,34496,2020-2024 ACS 5-year
Edison,08817,9,110808,7253,2020-2024 ACS 5-year
Edison,08820,9,171363,13073,2020-2024 ACS 5-year
Edison,08837,9,102605,7567,2020-2024 ACS 5-year
Green Brook,08812,9,118316,15815,2020-2024 ACS 5-year
Metuchen,08840,9,146635,13370,2020-2024 ACS 5-year
Gillette,07933,10,,,2020-2024 ACS 5-year
Stirling,07980,10,162955,51178,2020-2024 ACS 5-year
Woodbridge,07095,10,104926,12744,2020-2024 ACS 5-year
Maplewood,07040,11,173500,36582,2020-2024 ACS 5-year
Millington,07946,11,208587,43371,2020-2024 ACS 5-year
South Orange,07079,11,195417,19355,2020-2024 ACS 5-year
Livingston,07039,12,229806,19424,2020-2024 ACS 5-year
Bridgewater,08807,13,168696,13528,2020-2024 ACS 5-year
Martinsville,08836,13,229726,25013,2020-2024 ACS 5-year
West Orange,07052,13,129475,14311,2020-2024 ACS 5-year
Basking Ridge,07920,14,192857,17291,2020-2024 ACS 5-year
Glen Ridge,07028,14,247361,41035,2020-2024 ACS 5-year
Verona,07044,14,161843,15990,2020-2024 ACS 5-year
East Hanover,07936,15,149583,17373,2020-2024 ACS 5-year
Essex Fells,07021,15,250001,,2020-2024 ACS 5-year
Florham Park,07932,15,156458,18392,2020-2024 ACS 5-year
Montclair,07042,15,122847,9327,2020-2024 ACS 5-year
Montclair,07043,15,250001,,2020-2024 ACS 5-year
Roseland,07068,15,164458,33332,2020-2024 ACS 5-year
Caldwell,07006,16,149102,8817,2020-2024 ACS 5-year
Caldwell,07006,16,149102,8817,2020-2024 ACS 5-year
Caldwell,07006,16,149102,8817,2020-2024 ACS 5-year
Cedar Grove,07009,16,151625,17495,2020-2024 ACS 5-year
Bedminster,07921,17,123104,10573,2020-2024 ACS 5-year
Chatham,07928,17,220982,22182,2020-2024 ACS 5-year
Madison,07940,17,172708,19409,2020-2024 ACS 5-year
Nutley,07110,17,119646,7827,2020-2024 ACS 5-year
Branchburg,08876,18,122884,7527,2020-2024 ACS 5-year
Bernardsville,07924,19,236042,32935,2020-2024 ACS 5-year
Morristown,07960,19,160334,8522,2020-2024 ACS 5-year
Morristown,07960,19,160334,8522,2020-2024 ACS 5-year
Cedar Knolls,07927,20,170400,38419,2020-2024 ACS 5-year
Morris Plains,07950,21,153762,4189,2020-2024 ACS 5-year
Denville,07834,22,156902,17313,2020-2024 ACS 5-year
Glen Rock,07452,22,215096,18218,2020-2024 ACS 5-year
Mendham,07945,22,250001,,2020-2024 ACS 5-year
Boonton,07005,23,132629,13206,2020-2024 ACS 5-year
Montville,07045,23,185078,47119,2020-2024 ACS 5-year
Mountain Lakes,07046,23,250001,,2020-2024 ACS 5-year
Franklin Lakes,07417,24,236023,26399,2020-2024 ACS 5-year
Randolph,07869,25,169497,13265,2020-2024 ACS 5-year
Towaco,07082,25,205023,64896,2020-2024 ACS 5-year
Chester,07930,26,240954,17625,2020-2024 ACS 5-year
Long Valley,07853,29,175792,23066,2020-2024 ACS 5-year
