town,zip,dist_mi_from_westfield,elementary_rating_1_to_10,middle_rating_1_to_10,high_school_rating_1_to_10,elementary_composite_proficiency_pct,high_school_composite_proficiency_pct,elementary_districts,high_school_districts,school_year
Westfield,07090,0,10,9,9,79.0,77.9,Westfield Public School District,Westfield Public School District,2024-25
Cranford,07016,2,9,9,8,70.8,73.4,Cranford Public School District,Cranford Public School District,2024-25
Garwood,07027,2,6,7,6,52.4,65.7,Garwood Boro,Clark Township Public School District,2024-25
Fanwood,07023,3,9,9,8,68.8,71.7,Scotch Plains-Fanwood School District,Scotch Plains-Fanwood School District,2024-25
Mountainside,07092,3,10,10,10,80.9,80.9,Mountainside School District,Berkeley Heights School District,2024-25
Scotch Plains,07076,3,9,9,8,68.8,71.7,Scotch Plains-Fanwood School District,Scotch Plains-Fanwood School District,2024-25
Clark,07066,4,8,7,6,64.9,65.7,Clark Township Public School District,Clark Township Public School District,2024-25
Springfield,07081,5,8,7,8,62.6,72.4,Springfield Public School District,Springfield Public School District,2024-25
Watchung,07069,5,8,8,8,67.7,73.5,Watchung Borough School District,Watchung Hills Regional High School District,2024-25
Colonia,07067,6,5,3,4,44.8,54.8,Woodbridge Township School District,Woodbridge Township School District,2024-25
Summit,07901,6,10,9,9,83.5,77.4,Summit Public School District,Summit Public School District,2024-25
Berkeley Heights,07922,7,9,9,10,70.1,80.9,Berkeley Heights School District,Berkeley Heights School District,2024-25
Millburn,07041,7,10,10,10,87.2,82.9,Millburn Township School District,Millburn Township School District,2024-25
New Providence,07974,7,10,10,9,83.6,75.3,New Providence School District,New Providence School District,2024-25
Short Hills,07078,8,10,10,10,87.2,82.9,Millburn Township School District,Millburn Township School District,2024-25
South Plainfield,07080,8,5,4,7,48.8,67.6,South Plainfield School District,South Plainfield School District,2024-25
Warren,07059,8,9,8,8,71.8,73.5,Warren Township School District,Watchung Hills Regional High School District,2024-25
Edison,08820,9,8,7,9,65.8,74.9,Edison Township School District,Edison Township School District,2024-25
Edison,08817,9,8,7,9,65.8,74.9,Edison Township School District,Edison Township School District,2024-25
Edison,08837,9,8,7,9,65.8,74.9,Edison Township School District,Edison Township School District,2024-25
Green Brook,08812,9,7,7,8,58.2,73.5,Green Brook Township Public School District,Watchung Hills Regional High School District,2024-25
Metuchen,08840,9,9,9,10,73.6,85.1,Metuchen Public School District,Metuchen Public School District,2024-25
Gillette,07933,10,8,8,8,62.7,73.5,Long Hill Township School District,Watchung Hills Regional High School District,2024-25
Stirling,07980,10,8,8,8,62.7,73.5,Long Hill Township School District,Watchung Hills Regional High School District,2024-25
Woodbridge,07095,10,5,3,4,44.8,54.8,Woodbridge Township School District,Woodbridge Township School District,2024-25
Maplewood,07040,11,8,7,9,67.7,78.1,South Orange-Maplewood School District,South Orange-Maplewood School District,2024-25
Millington,07946,11,8,8,8,62.7,73.5,Long Hill Township School District,Watchung Hills Regional High School District,2024-25
South Orange,07079,11,8,7,9,67.7,78.1,South Orange-Maplewood School District,South Orange-Maplewood School District,2024-25
Livingston,07039,12,10,10,10,82.5,83.7,Livingston Board Of Education School District,Livingston Board Of Education School District,2024-25
Bridgewater,08807,13,8,7,10,64.3,79.7,Bridgewater-Raritan Regional School District,Bridgewater-Raritan Regional School District,2024-25
Hanover Township,07981,13,8,7,,64.2,,Hanover Township School District,Hanover Park Regional High School District,2024-25
Martinsville,08836,13,8,7,10,64.3,79.7,Bridgewater-Raritan Regional School District,Bridgewater-Raritan Regional School District,2024-25
West Orange,07052,13,7,6,6,61.9,65.6,West Orange Public Schools,West Orange Public Schools,2024-25
Basking Ridge,07920,14,10,10,8,83.2,72.0,Bernards Township School District,Bernards Township School District,2024-25
Glen Ridge,07028,14,10,10,9,80.4,79.1,Glen Ridge Public School District,Glen Ridge Public School District,2024-25
Parsippany-Troy Hills,07054,14,9,7,,71.4,,Parsippany-Troy Hills Township School District,Parsippany-Troy Hills Township School District,2024-25
Verona,07044,14,8,8,8,66.0,72.7,Verona Public School District,Verona Public School District,2024-25
East Hanover,07936,15,8,10,9,64.0,75.0,East Hanover Township School District,Hanover Park Regional High School District,2024-25
Essex Fells,07021,15,10,8,9,83.8,74.6,Essex Fells School District,West Essex Regional School District,2024-25
Florham Park,07932,15,9,8,9,68.7,75.0,Florham Park School District,Hanover Park Regional High School District,2024-25
Montclair,07042,15,8,8,8,67.7,73.6,Montclair Public School District,Montclair Public School District,2024-25
Montclair,07043,15,8,8,8,67.7,73.6,Montclair Public School District,Montclair Public School District,2024-25
Roseland,07068,15,10,8,9,80.0,74.6,Roseland School District,West Essex Regional School District,2024-25
Caldwell,07006,16,7,7,8,60.9,73.1,Caldwell-West School District,Caldwell-West School District,2024-25
Cedar Grove,07009,16,10,7,9,77.9,74.8,Cedar Grove Township School District,Cedar Grove Township School District,2024-25
Fairfield,07004,16,8,8,,65.1,,Fairfield Public School District,West Essex Regional School District,2024-25
Mendham Township,07945,16,10,10,,84.4,,Mendham Township School District,West Morris Regional High School District,2024-25
North Caldwell,07006,16,10,8,9,82.4,74.6,North Caldwell School District,West Essex Regional School District,2024-25
West Caldwell,07006,16,7,7,8,60.9,73.1,Caldwell-West School District,Caldwell-West School District,2024-25
Bedminster,07921,17,9,9,9,69.6,77.5,Bedminster Township Public School District,Somerset Hills Regional School District,2024-25
Chatham,07928,17,10,9,10,77.7,79.5,School District Of The Chathams,School District Of The Chathams,2024-25
Madison,07940,17,9,9,10,74.5,79.5,Madison Public School District,Madison Public School District,2024-25
Nutley,07110,17,7,8,7,60.2,70.1,Nutley Public School District,Nutley Public School District,2024-25
Branchburg,08876,18,8,6,5,65.7,62.4,Branchburg Township School District,Somerville Public School District,2024-25
Woodland Park,07424,18,5,4,,43.8,,Woodland Park School District,Passaic Valley Regional High School District,2024-25
Bernardsville,07924,19,7,9,9,60.5,77.5,Somerset Hills Regional School District,Somerset Hills Regional School District,2024-25
Morris Township,07960,19,7,5,6,56.5,64.4,Morris School District,Morris School District,2024-25
Morristown,07960,19,7,5,6,56.5,64.4,Morris School District,Morris School District,2024-25
Totowa,07512,19,4,5,,41.2,,Totowa Public School District,Passaic Valley Regional High School District,2024-25
Cedar Knolls,07927,20,8,7,9,64.2,75.0,Hanover Township School District,Hanover Park Regional High School District,2024-25
Elmwood Park,07407,21,4,3,,41.9,,Elmwood Park School District,Elmwood Park School District,2024-25
Morris Plains,07950,21,9,9,8,73.7,71.6,Morris Plains School District,Morris Hills Regional School District,2024-25
Wayne,07470,21,8,8,,66.2,,Wayne Township Public School District,Wayne Township Public School District,2024-25
Denville,07834,22,9,8,8,72.7,71.6,Denville Township K-8 School District,Morris Hills Regional School District,2024-25
Glen Rock,07452,22,10,10,10,81.2,80.2,Glen Rock Public School District,Glen Rock Public School District,2024-25
Haledon,07508,22,2,2,,31.3,,Haledon Public School District,Passaic County Manchester Regional High School District,2024-25
Mendham,07945,22,10,10,9,82.2,78.1,Mendham Borough School District; Mendham Township School District,West Morris Regional High School District,2024-25
North Haledon,07508,22,5,7,,46.4,,North Haledon School District,Passaic County Manchester Regional High School District,2024-25
Pompton Plains,07444,22,9,8,,72.2,,Pequannock Township School District,Pequannock Township School District,2024-25
Boonton,07005,23,6,7,8,50.1,72.4,Boonton Town Public School District,Boonton Town Public School District,2024-25
Montville,07045,23,10,9,9,79.1,78.9,Montville Township School District,Montville Township School District,2024-25
Mountain Lakes,07046,23,10,10,10,86.1,83.4,Mountain Lakes Public School District,Mountain Lakes Public School District,2024-25
Franklin Lakes,07417,24,10,9,8,77.8,74.2,Franklin Lakes School District,Ramapo Indian Hills Regional High School District,2024-25
Pompton Lakes,07442,24,7,7,,57.5,,Pompton Lakes School District,Pompton Lakes School District,2024-25
Randolph,07869,25,8,8,9,62.4,74.5,Randolph Township School District,Randolph Township School District,2024-25
Towaco,07082,25,10,9,9,79.1,78.9,Montville Township School District,Montville Township School District,2024-25
Chester,07930,26,8,8,9,68.5,78.1,Chester Township School District,West Morris Regional High School District,2024-25
Long Valley,07853,29,8,8,9,68.4,78.1,Washington Township School District,West Morris Regional High School District,2024-25
