town,dist_mi_from_westfield,nearest_seabra_mi,nearest_seabra_store,nearest_seabra_store_town
Cranford,2,2.3,Seabra's Market - Union,Union
Garwood,2,3.4,Seabra's Market - Union,Union
Fanwood,3,6.6,Seabra's Market - Union,Union
Scotch Plains,3,6.3,Seabra's Market - Union,Union
Clark,4,4.5,Seabra's Market - Union,Union
Springfield,5,3.7,Seabra's Market - Union,Union
Watchung,5,9.1,Seabra's Market - Union,Union
Colonia,6,6.5,Seabra's Market - Union,Union
Summit,6,5.7,Seabra's Market - Union,Union
Berkeley Heights,7,8.3,Seabra's Market - Union,Union
New Providence,7,7.2,Seabra's Market - Union,Union
Short Hills,8,5.4,Seabra's Market - Union,Union
South Plainfield,8,10.5,Seabra's Market - Union,Union
Warren,8,13.5,Seabra's Market - Union,Union
Edison,9,7.7,Seabra's Market - Old Bridge,Old Bridge
Green Brook,9,12.3,Seabra's Market - Union,Union
Metuchen,9,9.7,Seabra's Market - Old Bridge,Old Bridge
Woodbridge,10,7.8,Seabra's Market - Elizabeth,Elizabeth
Maplewood,11,3.3,Seabra Foods - Hillside,Hillside
South Orange,11,4.1,Seabra Foods - Hillside,Hillside
Livingston,12,8.0,Seabra Foods - Hillside,Hillside
Bridgewater,13,19.3,Seabra's Market - Union,Union
Long Hill,13,9.9,Seabra's Market - Union,Union
West Orange,13,6.5,Seabra Foods - Harrison,Harrison
Basking Ridge,14,15.0,Seabra's Market - Union,Union
Glen Ridge,14,4.6,Seabra Foods - Kearny,Kearny
Verona,14,7.4,Seabra Foods - Kearny,Kearny
Essex Fells,15,8.5,Seabra Foods - Kearny,Kearny
Florham Park,15,9.5,Seabra's Market - Union,Union
Montclair,15,5.6,Seabra Foods - Kearny,Kearny
Roseland,15,9.7,Seabra Foods - Hillside,Hillside
Caldwell,16,9.8,Seabra Foods - Kearny,Kearny
Cedar Grove,16,8.4,Seabra Foods - Kearny,Kearny
North Caldwell,16,9.8,Seabra Foods - Kearny,Kearny
Bedminster,17,21.5,Seabra's Market - Union,Union
Chatham,17,8.3,Seabra's Market - Union,Union
Madison,17,9.8,Seabra's Market - Union,Union
Nutley,17,4.6,Seabra Foods - Kearny,Kearny
Branchburg,18,22.7,Seabra's Market - Union,Union
Morristown,19,14.1,Seabra's Market - Union,Union
Morris Plains,21,16.1,Seabra's Market - Union,Union
Denville,22,18.4,Seabra's Market - Union,Union
Glen Rock,22,14.2,Seabra Foods - Kearny,Kearny
Mendham,22,18.8,Seabra's Market - Union,Union
Boonton,23,18.4,Seabra Foods - Kearny,Kearny
Montville,23,15.6,Seabra Foods - Kearny,Kearny
Franklin Lakes,24,17.7,Seabra Foods - Kearny,Kearny
Randolph,25,19.8,Seabra's Market - Union,Union
Towaco,25,15.8,Seabra Foods - Kearny,Kearny
Chester,26,22.9,Seabra's Market - Union,Union
Long Valley,29,27.9,Seabra's Market - Union,Union
