town,dist_mi_from_westfield,has_train_station,station_name,rail_line,direct_train_to_manhattan,train_transfer_at,train_minutes_to_manhattan,nearest_station_if_none,has_bus_to_port_authority,bus_route,bus_minutes_to_port_authority,best_transit_minutes,best_transit_mode,confidence,notes
Westfield,0,True,Westfield,Raritan Valley Line,False,Newark Penn,55,,True,NJT 113,58,55,train,high,"RVL: no peak one-seat ride, every NY time flagged 'change at Newark Penn'. Verified peak trips 50-59 min (rarv.pdf). Bus 113 from Westfield station (North Ave at Elm) to PABT a consistent 58 min, every 10-15 min at peak - frequent, not rush-only."
Cranford,2,True,Cranford,Raritan Valley Line,False,Newark Penn,50,,True,NJT 113,47,47,bus,high,"RVL: no peak one-seat ride, change at Newark Penn. Verified peak trips 45-53 min. Cranford gets the 'X' trains, express between New York and Cranford. Bus 113 from Cranford station 47 min, frequent AM service - the fastest option here."
Garwood,2,True,Garwood,Raritan Valley Line,False,Newark Penn,52,,True,NJT 113,50,50,bus,medium,Raritan Valley Line has NO one-seat ride at AM peak — every peak train is flagged 'change at Newark Penn'. Bus stop on North Ave; exact boarding times unverified.
Fanwood,3,True,Fanwood,Raritan Valley Line,False,Newark Penn,60,,True,NJT 113,68,60,train,high,"RVL: no peak one-seat ride. AM peak runs a SKIP-STOP pattern - some peak trains serve Westfield/Cranford and skip Fanwood, others the reverse. Verified 56-64 min. Bus 113 (Midway Ave at Terrill Rd) 68 min - slower than rail."
Scotch Plains,3,False,,Raritan Valley Line,False,Newark Penn,58,"Fanwood (in Fanwood Boro, ~1 mi)",True,NJT 114/114X,55,55,bus,high,No station of its own — the station was RENAMED from 'Scotch Plains' to 'Fanwood' in 1895 when the borough formed. RVL: no peak one-seat ride.
Clark,4,False,,Northeast Corridor / North Jersey Coast,True,,45,"Rahway (in Rahway, ~1.7 mi)",True,NJT 112,90,45,train,high,"No station, but Rahway is a direct 45-min ride. The 112 bus is a slow local via Elizabeth — 90 min, far worse than rail. Take the train."
Springfield,5,False,,Morris & Essex - Morristown Line,True,,38,"Millburn (in Millburn, ~2 mi)",False,,,38,train,medium,"No station. Millburn (~2 mi) has one-seat Midtown Direct, verified 34-43 min - excludes drive/park. NJT 70 serves Springfield but terminates in NEWARK, not PABT; Lakeland 78 and Community Coach 77 do not stop here. Bus=false is an absence-of-evidence finding after checking NJT, Lakeland and Coach USA."
Watchung,5,False,,Raritan Valley Line,False,Newark Penn,65,"Plainfield / Netherwood (in Plainfield, ~2-3 mi)",False,,,65,train,medium,No station and no in-town PABT bus. Nearest bus stops are 114/117 on Watchung Ave in North Plainfield.
Colonia,6,False,,Northeast Corridor,True,,40,Metropark (Iselin section of Woodbridge Twp),False,,,40,train,high,"A CDP inside Woodbridge Twp with no station of its own, but METROPARK is the practical station: NEC express, big park-and-ride, 40 min direct to Penn. One of the best commutes in the target set."
Summit,6,True,Summit,Morris & Essex (Morristown/Gladstone),True,,47,,True,Lakeland 78,35,35,bus,high,"One-seat Midtown Direct available throughout the AM peak, verified 42-52 min. Some peak trains run to Hoboken instead. Lakeland 78 from Summit Park & Ride 35-38 min; express trips skip Summit. The best transit town on this list."
